Fecha,Planta,Tratamiento,Altura planta (cm),Diametro tallo (mm),Clorofila (SPAD),Numero flores ,Numero frutos,Numero frutos cosechados ,Peso frutos cosechados (Kg),Perímetro (mm),Tamanno altura (mm),Frutos de 2da,pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),Fosforo_savia (ppm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Fosforo_suelo_Hanna (ppm),Tamanno cintura (mm),7in1_Nitrogen[mg/kg],7in1_Phosphorus[mg/kg],7in1_Potasium[mg/kg],7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],7in1_Conductivity[uS/cm],Pynamometer_Radiation[W/m^2],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],RGB_capture,Tapo_capture,Parrot_capture,Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],Cultivo,Laboratorio,Posicion_x,Posicion_y,x,y
2024-07-30,1,T27_N2P2K2,21.5,,34.8,,,,,,,,,,,,,,,6.9,86.0,,14.0,,0.996,,,13.0,18.0,36,5.23,39.8,33.3,183.0,42.8,30.8,53.1,1.0,1.0,5.0,Si,0.183,428.0,Tomatoes,Quindio,1.0,0.0,1.0,0.0
2024-07-30,4,T24_N2P1K1,22.0,,37.5,,,,,,,,,,,,,,,7.4,63.0,,6.5,,0.823,,,22.0,30.0,61,5.28,27.1,33.3,309.0,29.5,30.7,51.6,1.0,1.0,5.0,Si,0.309,295.0,Tomatoes,Quindio,3.2,0.0,3.2,0.0
2024-07-30,7,T4_N0P0K1,18.0,,37.2,,,,,,,,,,,,,,,7.6,19.0,,4.0,,0.165,,,8.0,11.0,23,6.24,29.6,31.7,118.0,38.3,30.6,51.8,1.0,1.0,5.0,Si,0.118,383.0,Tomatoes,Quindio,5.4,0.0,5.4,0.0
2024-07-30,10,T15_N1P1K1,18.5,,39.5,,,,,,,,,,,,,,,7.4,220.0,,55.0,,1.433,,,19.0,27.0,55,6.1,26.8,31.3,278.0,46.4,30.6,53.8,1.0,1.0,5.0,Si,0.278,464.0,Tomatoes,Quindio,7.6,0.0,7.6,0.0
2024-07-30,15,T9_N0P2K2,22.0,,40.1,,,,,,,,,,,,,,,7.2,41.0,,8.0,,0.296,,,26.0,36.0,73,6.36,25.8,31.7,371.0,50.8,31.0,51.9,1.0,1.0,5.0,Si,0.371,508.0,Tomatoes,Quindio,7.6,1.2,7.6,1.2
2024-07-30,18,T13_N1P0K1,18.5,,43.3,,,,,,,,,,,,,,,7.5,130.0,,32.0,,1.018,,,27.0,39.0,78,6.34,23.2,32.1,394.0,40.4,31.3,51.6,1.0,1.0,5.0,Si,0.394,404.0,Tomatoes,Quindio,5.4,1.2,5.4,1.2
2024-07-30,21,T22_N2P0K1,13.0,,39.8,,,,,,,,,,,,,,,7.2,65.0,,14.0,,0.657,,,12.0,17.0,33,6.42,23.5,33.1,172.0,46.9,31.5,48.7,1.0,1.0,5.0,Si,0.172,469.0,Tomatoes,Quindio,3.2,1.2,3.2,1.2
2024-07-30,24,T10_N1P0K0,15.0,,37.2,,,,,,,,,,,,,,,7.2,44.0,,7.0,,0.631,,,39.0,55.0,111,6.27,23.6,33.3,556.0,50.2,31.7,47.9,1.0,1.0,5.0,Si,0.556,502.0,Tomatoes,Quindio,1.0,1.2,1.0,1.2
2024-07-30,25,T28_BIO-N0P0K0,17.5,,36.5,,,,,,,,,,,,,,,7.7,45.0,,6.0,,0.319,,,22.0,31.0,62,6.38,22.4,32.5,317.0,47.0,30.9,50.2,0.0,0.0,2.0,Si,0.317,470.0,Tomatoes,Quindio,1.0,2.4,1.0,2.4
2024-07-30,28,T12_N1P2K0,23.0,,40.3,,,,,,,,,,,,,,,7.9,180.0,,54.0,,1.197,,,27.0,38.0,76,6.3,21.6,33.3,386.0,41.2,31.7,48.5,1.0,1.0,5.0,Si,0.386,412.0,Tomatoes,Quindio,3.2,2.4,3.2,2.4
2024-07-30,31,T26_N2P2K1,17.5,,34.2,,,,,,,,,,,,,,,7.3,86.0,,21.0,,0.935,,,40.0,56.0,112,6.29,32.6,32.9,564.0,37.4,31.6,48.0,1.0,1.0,5.0,Si,0.564,374.0,Tomatoes,Quindio,5.4,2.4,5.4,2.4
2024-07-30,34,T16_N1P1K2,18.0,,31.1,,,,,,,,,,,,,,,7.4,240.0,,62.0,,1.301,,,50.0,71.0,141,6.45,31.3,32.5,710.0,42.8,31.3,49.5,1.0,1.0,5.0,Si,0.71,428.0,Tomatoes,Quindio,7.6,2.4,7.6,2.4
2024-07-30,39,T1_N0P0K0,17.0,,35.3,,,,,,,,,,,,,,,7.4,40.0,,6.0,,0.401,,,18.0,26.0,52,6.4,21.6,31.7,261.0,45.9,31.4,50.6,1.0,1.0,5.0,Si,0.261,459.0,Tomatoes,Quindio,7.6,3.6,7.6,3.6
2024-07-30,42,T14_N1P0K2,18.5,,38.8,,,,,,,,,,,,,,,7.3,260.0,,68.0,,1.478,,,38.0,54.0,109,6.35,23.6,32.1,546.0,33.7,31.2,48.1,1.0,1.0,5.0,Si,0.546,337.0,Tomatoes,Quindio,5.4,3.6,5.4,3.6
2024-07-30,45,T7_N0P1K2,17.5,,37.0,,,,,,,,,,,,,,,7.4,88.0,,26.0,,0.725,,,39.0,55.0,110,6.45,18.8,32.9,555.0,35.3,31.0,48.7,1.0,1.0,5.0,Si,0.555,353.0,Tomatoes,Quindio,3.2,3.6,3.2,3.6
2024-07-30,48,T3_N0P2K0,19.0,,35.7,,,,,,,,,,,,,,,7.4,100.0,,10.0,,1.591,,,40.0,56.0,113,6.36,29.6,32.9,569.0,28.5,31.0,49.4,1.0,1.0,5.0,Si,0.569,285.0,Tomatoes,Quindio,1.0,3.6,1.0,3.6
2024-07-30,49,T23_N2P0K2,17.0,,35.7,,,,,,,,,,,,,,,7.5,17.0,,2.0,,0.222,,,39.0,54.0,109,6.26,22.6,32.9,548.0,32.2,30.9,50.0,1.0,1.0,5.0,Si,0.548,322.0,Tomatoes,Quindio,1.0,4.8,1.0,4.8
2024-07-30,52,T21_N2P2K0,23.0,,37.0,,,,,,,,,,,,,,,7.5,92.0,,18.0,,1.165,,,24.0,34.0,68,6.52,22.8,32.9,345.0,29.6,30.9,51.9,1.0,1.0,5.0,Si,0.345,296.0,Tomatoes,Quindio,3.2,4.8,3.2,4.8
2024-07-30,55,T5_N0P0K2,22.5,,33.8,,,,,,,,,,,,,,,7.5,54.0,,11.0,,0.352,,,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,4.8,5.4,4.8
2024-07-30,58,T30_BIO N2P2K2,22.0,,32.3,,,,,,,,,,,,,,,7.4,150.0,,17.0,,1.056,,,55.0,76.0,156,6.32,24.1,32.7,768.0,78.7,30.9,50.0,1.0,1.0,5.0,Si,0.768,787.0,Tomatoes,Quindio,7.6,4.8,7.6,4.8
2024-07-30,63,T20_N2P1K0,22.0,,35.9,,,,,,,,,,,,,,,7.5,36.0,,8.0,,0.783,,,41.0,57.0,115,6.39,20.8,32.9,578.0,84.8,31.2,49.2,1.0,1.0,5.0,Si,0.578,848.0,Tomatoes,Quindio,7.6,6.0,7.6,6.0
2024-07-30,66,T18_N1P2K2,20.5,,36.0,,,,,,,,,,,,,,,7.5,110.0,,27.0,,1.162,,,41.0,57.0,115,6.4,23.1,32.9,577.0,46.9,31.3,48.9,1.0,1.0,5.0,Si,0.577,469.0,Tomatoes,Quindio,5.4,6.0,5.4,6.0
2024-07-30,69,T29_BIO N1P1K1,21.5,,29.6,,,,,,,,,,,,,,,7.5,94.0,,16.0,,0.908,,,88.0,126.0,250,6.31,20.7,32.9,1298.0,66.6,31.5,50.9,1.0,1.0,5.0,Si,1.298,666.0,Tomatoes,Quindio,3.2,6.0,3.2,6.0
2024-07-30,72,T25_N2P1K2,23.5,,36.2,,,,,,,,,,,,,,,7.4,200.0,,48.0,,1.965,,,41.0,58.0,117,6.34,24.3,32.9,586.0,63.0,31.8,50.5,1.0,1.0,5.0,Si,0.586,630.0,Tomatoes,Quindio,1.0,6.0,1.0,6.0
2024-07-30,73,T19_N2P0K0,20.5,,32.6,,,,,,,,,,,,,,,7.5,42.0,,5.0,,0.711,,,41.0,57.0,115,6.25,29.4,34.1,575.0,57.8,32.1,49.1,1.0,1.0,5.0,Si,0.575,578.0,Tomatoes,Quindio,1.0,7.2,1.0,7.2
2024-07-30,76,T2_N0P1K0,16.0,,34.5,,,,,,,,,,,,,,,7.5,49.0,,7.0,,0.541,,,40.0,56.0,113,6.36,28.3,34.5,566.0,28.2,32.2,50.8,1.0,1.0,5.0,Si,0.566,282.0,Tomatoes,Quindio,3.2,7.2,3.2,7.2
2024-07-30,79,T6_N0P1K1,15.5,,37.6,,,,,,,,,,,,,,,7.4,110.0,,13.0,,0.999,,,29.0,40.0,81,6.45,27.2,33.7,528.0,55.4,32.1,47.2,1.0,1.0,5.0,Si,0.528,554.0,Tomatoes,Quindio,5.4,7.2,5.4,7.2
2024-07-30,82,T17_N1P2K1,20.0,,36.9,,,,,,,,,,,,,,,7.4,280.0,,52.0,,2.02,,,41.0,58.0,117,6.41,21.2,34.1,695.0,81.6,32.3,47.8,1.0,1.0,5.0,Si,0.695,816.0,Tomatoes,Quindio,7.6,7.2,7.6,7.2
2024-07-30,87,T11_N1P1K0,17.5,,34.4,,,,,,,,,,,,,,,7.5,51.0,,7.0,,0.703,,,39.0,55.0,110,6.39,20.6,34.1,552.0,75.9,32.3,45.6,1.0,1.0,5.0,Si,0.552,759.0,Tomatoes,Quindio,7.6,8.4,7.6,8.4
2024-07-30,90,T8_N0P2K1,14.0,,37.2,,,,,,,,,,,,,,,7.4,160.0,,29.0,,1.218,,,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,8.4,5.4,8.4
2024-08-06,2,T27_N2P2K2,24.0,,44.7,,,,,,,,,,,,,,,6.7,63.0,,14.0,450.0,1.43,,,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.5,0.0,1.5,0.0
2024-08-06,5,T24_N2P1K1,27.0,,45.1,,,,,,,,,,,,,,,6.8,41.0,,6.0,340.0,1.117,,,5.0,7.0,14,6.29,19.2,23.9,73.0,16.9,22.5,84.9,1.0,1.0,5.0,Si,0.073,169.0,Tomatoes,Quindio,3.7,0.0,3.7,0.0
2024-08-06,8,T4_N0P0K1,26.0,,41.8,,,,,,,,,,,,,,,6.9,170.0,,93.0,440.0,1.81,,,0.0,0.0,0,6.34,13.7,23.9,0.0,38.9,23.3,81.3,1.0,1.0,5.0,Si,0.0,389.0,Tomatoes,Quindio,5.9,0.0,5.9,0.0
2024-08-06,11,T15_N1P1K1,24.5,,46.4,,,,,,,,,,,,,,,6.6,74.0,,32.0,290.0,1.217,,,0.0,0.0,1,6.36,19.2,24.3,8.0,41.1,23.8,78.2,1.0,1.0,5.0,Si,0.008,411.0,Tomatoes,Quindio,8.1,0.0,8.1,0.0
2024-08-06,14,T9_N0P2K2,23.5,,45.0,,,,,,,,,,,,,,,7.0,120.0,,40.0,380.0,1.313,,,0.0,0.0,1,6.31,19.1,26.3,9.0,54.6,24.6,76.6,1.0,1.0,5.0,Si,0.009,546.0,Tomatoes,Quindio,8.1,1.2,8.1,1.2
2024-08-06,17,T13_N1P0K1,23.0,,42.3,,,,,,,,,,,,,,,6.5,85.0,,36.0,430.0,1.39,,,3.0,5.0,10,6.49,23.1,26.7,52.0,55.1,25.5,73.0,1.0,1.0,5.0,Si,0.052,551.0,Tomatoes,Quindio,5.9,1.2,5.9,1.2
