Fecha,Tratamiento,Altura planta (cm),Clorofila (SPAD),Numero flores ,Numero frutos cosechados ,Peso frutos cosechados (Kg),Tamanno altura (mm),pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Tamanno cintura (mm),7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],N,P,K,Año,Mes,Día,Tratamiento_num
2024-07-30,T27_N2P2K2,21.5,34.8,,,,,,,,,,,6.9,86.0,,14.0,,0.996,,5.23,39.8,33.3,30.8,53.1,Si,0.183,428.0,2,2,2,2024,7,30,27.0
2024-07-30,T24_N2P1K1,22.0,37.5,,,,,,,,,,,7.4,63.0,,6.5,,0.823,,5.28,27.1,33.3,30.7,51.6,Si,0.309,295.0,2,1,1,2024,7,30,24.0
2024-07-30,T4_N0P0K1,18.0,37.2,,,,,,,,,,,7.6,19.0,,4.0,,0.165,,6.24,29.6,31.7,30.6,51.8,Si,0.118,383.0,0,0,1,2024,7,30,4.0
2024-07-30,T15_N1P1K1,18.5,39.5,,,,,,,,,,,7.4,220.0,,55.0,,1.433,,6.1,26.8,31.3,30.6,53.8,Si,0.278,464.0,1,1,1,2024,7,30,15.0
2024-07-30,T9_N0P2K2,22.0,40.1,,,,,,,,,,,7.2,41.0,,8.0,,0.296,,6.36,25.8,31.7,31.0,51.9,Si,0.371,508.0,0,2,2,2024,7,30,9.0
2024-07-30,T13_N1P0K1,18.5,43.3,,,,,,,,,,,7.5,130.0,,32.0,,1.018,,6.34,23.2,32.1,31.3,51.6,Si,0.394,404.0,1,0,1,2024,7,30,13.0
2024-07-30,T22_N2P0K1,13.0,39.8,,,,,,,,,,,7.2,65.0,,14.0,,0.657,,6.42,23.5,33.1,31.5,48.7,Si,0.172,469.0,2,0,1,2024,7,30,22.0
2024-07-30,T10_N1P0K0,15.0,37.2,,,,,,,,,,,7.2,44.0,,7.0,,0.631,,6.27,23.6,33.3,31.7,47.9,Si,0.556,502.0,1,0,0,2024,7,30,10.0
2024-07-30,T28_BIO-N0P0K0,17.5,36.5,,,,,,,,,,,7.7,45.0,,6.0,,0.319,,6.38,22.4,32.5,30.9,50.2,Si,0.317,470.0,0,0,0,2024,7,30,28.0
2024-07-30,T12_N1P2K0,23.0,40.3,,,,,,,,,,,7.9,180.0,,54.0,,1.197,,6.3,21.6,33.3,31.7,48.5,Si,0.386,412.0,1,2,0,2024,7,30,12.0
2024-07-30,T26_N2P2K1,17.5,34.2,,,,,,,,,,,7.3,86.0,,21.0,,0.935,,6.29,32.6,32.9,31.6,48.0,Si,0.564,374.0,2,2,1,2024,7,30,26.0
2024-07-30,T16_N1P1K2,18.0,31.1,,,,,,,,,,,7.4,240.0,,62.0,,1.301,,6.45,31.3,32.5,31.3,49.5,Si,0.71,428.0,1,1,2,2024,7,30,16.0
2024-07-30,T1_N0P0K0,17.0,35.3,,,,,,,,,,,7.4,40.0,,6.0,,0.401,,6.4,21.6,31.7,31.4,50.6,Si,0.261,459.0,0,0,0,2024,7,30,1.0
2024-07-30,T14_N1P0K2,18.5,38.8,,,,,,,,,,,7.3,260.0,,68.0,,1.478,,6.35,23.6,32.1,31.2,48.1,Si,0.546,337.0,1,0,2,2024,7,30,14.0
2024-07-30,T7_N0P1K2,17.5,37.0,,,,,,,,,,,7.4,88.0,,26.0,,0.725,,6.45,18.8,32.9,31.0,48.7,Si,0.555,353.0,0,1,2,2024,7,30,7.0
2024-07-30,T3_N0P2K0,19.0,35.7,,,,,,,,,,,7.4,100.0,,10.0,,1.591,,6.36,29.6,32.9,31.0,49.4,Si,0.569,285.0,0,2,0,2024,7,30,3.0
2024-07-30,T23_N2P0K2,17.0,35.7,,,,,,,,,,,7.5,17.0,,2.0,,0.222,,6.26,22.6,32.9,30.9,50.0,Si,0.548,322.0,2,0,2,2024,7,30,23.0
2024-07-30,T21_N2P2K0,23.0,37.0,,,,,,,,,,,7.5,92.0,,18.0,,1.165,,6.52,22.8,32.9,30.9,51.9,Si,0.345,296.0,2,2,0,2024,7,30,21.0
2024-07-30,T5_N0P0K2,22.5,33.8,,,,,,,,,,,7.5,54.0,,11.0,,0.352,,,,,,,,,,0,0,2,2024,7,30,5.0
2024-07-30,T30_BIO N2P2K2,22.0,32.3,,,,,,,,,,,7.4,150.0,,17.0,,1.056,,6.32,24.1,32.7,30.9,50.0,Si,0.768,787.0,2,2,2,2024,7,30,30.0
2024-07-30,T20_N2P1K0,22.0,35.9,,,,,,,,,,,7.5,36.0,,8.0,,0.783,,6.39,20.8,32.9,31.2,49.2,Si,0.578,848.0,2,1,0,2024,7,30,20.0
2024-07-30,T18_N1P2K2,20.5,36.0,,,,,,,,,,,7.5,110.0,,27.0,,1.162,,6.4,23.1,32.9,31.3,48.9,Si,0.577,469.0,1,2,2,2024,7,30,18.0
2024-07-30,T29_BIO N1P1K1,21.5,29.6,,,,,,,,,,,7.5,94.0,,16.0,,0.908,,6.31,20.7,32.9,31.5,50.9,Si,1.298,666.0,1,1,1,2024,7,30,29.0
2024-07-30,T25_N2P1K2,23.5,36.2,,,,,,,,,,,7.4,200.0,,48.0,,1.965,,6.34,24.3,32.9,31.8,50.5,Si,0.586,630.0,2,1,2,2024,7,30,25.0
2024-07-30,T19_N2P0K0,20.5,32.6,,,,,,,,,,,7.5,42.0,,5.0,,0.711,,6.25,29.4,34.1,32.1,49.1,Si,0.575,578.0,2,0,0,2024,7,30,19.0
2024-07-30,T2_N0P1K0,16.0,34.5,,,,,,,,,,,7.5,49.0,,7.0,,0.541,,6.36,28.3,34.5,32.2,50.8,Si,0.566,282.0,0,1,0,2024,7,30,2.0
2024-07-30,T6_N0P1K1,15.5,37.6,,,,,,,,,,,7.4,110.0,,13.0,,0.999,,6.45,27.2,33.7,32.1,47.2,Si,0.528,554.0,0,1,1,2024,7,30,6.0
2024-07-30,T17_N1P2K1,20.0,36.9,,,,,,,,,,,7.4,280.0,,52.0,,2.02,,6.41,21.2,34.1,32.3,47.8,Si,0.695,816.0,1,2,1,2024,7,30,17.0
2024-07-30,T11_N1P1K0,17.5,34.4,,,,,,,,,,,7.5,51.0,,7.0,,0.703,,6.39,20.6,34.1,32.3,45.6,Si,0.552,759.0,1,1,0,2024,7,30,11.0
2024-07-30,T8_N0P2K1,14.0,37.2,,,,,,,,,,,7.4,160.0,,29.0,,1.218,,,,,,,,,,0,2,1,2024,7,30,8.0
2024-08-06,T27_N2P2K2,24.0,44.7,,,,,,,,,,,6.7,63.0,,14.0,450.0,1.43,,,,,,,,,,2,2,2,2024,8,6,27.0
2024-08-06,T24_N2P1K1,27.0,45.1,,,,,,,,,,,6.8,41.0,,6.0,340.0,1.117,,6.29,19.2,23.9,22.5,84.9,Si,0.073,169.0,2,1,1,2024,8,6,24.0
2024-08-06,T4_N0P0K1,26.0,41.8,,,,,,,,,,,6.9,170.0,,93.0,440.0,1.81,,6.34,13.7,23.9,23.3,81.3,Si,0.0,389.0,0,0,1,2024,8,6,4.0
2024-08-06,T15_N1P1K1,24.5,46.4,,,,,,,,,,,6.6,74.0,,32.0,290.0,1.217,,6.36,19.2,24.3,23.8,78.2,Si,0.008,411.0,1,1,1,2024,8,6,15.0
2024-08-06,T9_N0P2K2,23.5,45.0,,,,,,,,,,,7.0,120.0,,40.0,380.0,1.313,,6.31,19.1,26.3,24.6,76.6,Si,0.009,546.0,0,2,2,2024,8,6,9.0
2024-08-06,T13_N1P0K1,23.0,42.3,,,,,,,,,,,6.5,85.0,,36.0,430.0,1.39,,6.49,23.1,26.7,25.5,73.0,Si,0.052,551.0,1,0,1,2024,8,6,13.0
2024-08-06,T22_N2P0K1,24.0,45.1,,,,,,,,,,,6.8,59.0,,28.0,380.0,1.04,,6.54,23.1,27.1,26.1,69.6,Si,0.023,332.0,2,0,1,2024,8,6,22.0
2024-08-06,T10_N1P0K0,24.0,43.9,,,,,,,,,,,7.0,10.0,,6.0,68.0,0.16,,6.42,21.0,26.7,26.4,67.9,Si,0.055,176.0,1,0,0,2024,8,6,10.0
2024-08-06,T28_BIO-N0P0K0,21.0,40.1,,,,,,,,,,,6.7,41.0,,11.0,410.0,1.06,,6.46,13.4,26.7,26.4,68.9,Si,0.328,311.0,0,0,0,2024,8,6,28.0
2024-08-06,T12_N1P2K0,21.0,47.9,,,,,,,,,,,6.6,53.0,,18.0,530.0,1.21,,6.33,21.9,26.3,26.4,66.3,Si,0.104,285.0,1,2,0,2024,8,6,12.0
2024-08-06,T26_N2P2K1,25.0,43.2,,,,,,,,,,,7.0,160.0,,88.0,280.0,1.43,,6.57,17.4,26.3,26.3,66.6,Si,0.053,253.0,2,2,1,2024,8,6,26.0
2024-08-06,T16_N1P1K2,23.0,46.5,,,,,,,,,,,6.7,11.0,,5.0,410.0,0.64,,6.54,20.1,26.7,26.2,67.6,Si,0.008,239.0,1,1,2,2024,8,6,16.0
2024-08-06,T1_N0P0K0,19.5,42.5,,,,,,,,,,,6.7,47.0,,16.0,310.0,0.83,,6.47,20.3,26.7,26.0,68.8,Si,0.038,214.0,0,0,0,2024,8,6,1.0
2024-08-06,T14_N1P0K2,21.0,45.8,,,,,,,,,,,6.9,47.0,,20.0,330.0,1.14,,6.41,21.1,26.7,25.8,69.0,Si,0.075,238.0,1,0,2,2024,8,6,14.0
2024-08-06,T7_N0P1K2,21.5,41.5,,,,,,,,,,,6.9,37.0,,13.0,160.0,0.61,,6.35,14.6,26.3,25.6,68.3,Si,0.392,175.0,0,1,2,2024,8,6,7.0
2024-08-06,T3_N0P2K0,22.0,41.7,,,,,,,,,,,6.6,8.0,,5.0,370.0,0.62,,6.39,14.5,26.3,25.4,68.8,Si,0.263,185.0,0,2,0,2024,8,6,3.0
2024-08-06,T23_N2P0K2,16.5,42.2,,,,,,,,,,,7.0,43.0,,12.0,250.0,0.46,,6.36,15.8,25.9,25.4,69.2,Si,0.556,161.0,2,0,2,2024,8,6,23.0
2024-08-06,T21_N2P2K0,20.5,43.4,,,,,,,,,,,6.6,60.0,,21.0,540.0,1.44,,6.4,17.8,25.9,25.2,68.7,Si,0.338,192.0,2,2,0,2024,8,6,21.0
2024-08-06,T5_N0P0K2,17.0,37.2,,,,,,,,,,,7.1,4.0,,2.0,22.0,0.067,,6.46,23.3,25.9,25.1,70.1,Si,0.092,254.0,0,0,2,2024,8,6,5.0
2024-08-06,T30_BIO N2P2K2,15.5,36.6,,,,,,,,,,,6.7,130.0,,20.0,740.0,2.01,,6.49,14.9,26.3,25.0,68.1,Si,0.575,274.0,2,2,2,2024,8,6,30.0
2024-08-06,T20_N2P1K0,21.5,44.0,,,,,,,,,,,6.5,43.0,,21.0,540.0,0.94,,6.44,19.0,26.3,25.0,71.0,Si,0.35,283.0,2,1,0,2024,8,6,20.0
2024-08-06,T18_N1P2K2,21.0,43.7,,,,,,,,,,,6.4,14.0,,6.0,150.0,0.34,,6.38,16.2,26.3,25.1,69.4,Si,0.299,513.0,1,2,2,2024,8,6,18.0
2024-08-06,T29_BIO N1P1K1,24.0,45.4,,,,,,,,,,,7.0,34.0,,19.0,110.0,0.46,,6.41,14.6,27.5,25.6,69.7,Si,0.388,599.0,1,1,1,2024,8,6,29.0
2024-08-06,T25_N2P1K2,21.0,41.5,,,,,,,,,,,6.6,31.0,,10.0,190.0,0.67,,6.31,19.3,27.5,26.5,68.1,Si,0.322,620.0,2,1,2,2024,8,6,25.0
2024-08-06,T19_N2P0K0,23.0,37.8,,,,,,,,,,,6.5,49.0,,2.0,34.0,0.089,,6.31,14.0,27.9,27.1,66.6,Si,0.974,290.0,2,0,0,2024,8,6,19.0
2024-08-06,T2_N0P1K0,24.0,39.3,,,,,,,,,,,6.7,670.0,,10.0,650.0,1.36,,6.37,16.5,28.3,27.2,62.4,Si,0.332,199.0,0,1,0,2024,8,6,2.0
2024-08-06,T6_N0P1K1,25.0,38.6,,,,,,,,,,,6.6,2200.0,,26.0,666.0,1.38,,6.43,19.5,28.3,27.1,64.6,Si,0.278,199.0,0,1,1,2024,8,6,6.0
2024-08-06,T17_N1P2K1,22.0,41.7,,,,,,,,,,,7.2,2800.0,,40.0,620.0,1.51,,6.45,15.2,27.9,26.8,61.3,Si,0.537,243.0,1,2,1,2024,8,6,17.0
2024-08-06,T11_N1P1K0,28.0,37.0,,,,,,,,,,,7.3,3400.0,,59.0,786.0,1.95,,6.44,20.1,27.5,26.0,67.8,Si,0.348,282.0,1,1,0,2024,8,6,11.0
2024-08-06,T8_N0P2K1,30.0,42.1,,,,,,,,,,,7.1,1700.0,,29.0,720.0,1.77,,6.45,16.2,27.5,26.0,64.9,Si,0.293,307.0,0,2,1,2024,8,6,8.0
2024-08-06,T9_N0P2K2,,,,,,,,,,,,,,,,,,,,6.39,17.0,27.5,26.0,67.3,Si,0.343,297.0,0,2,2,2024,8,6,9.0
2024-08-06,T13_N1P0K1,,,,,,,,,,,,,,,,,,,,6.34,15.4,27.5,26.1,63.3,Si,0.271,590.0,1,0,1,2024,8,6,13.0
2024-08-06,T26_N2P2K1,,,,,,,,,,,,,,,,,,,,6.44,22.5,27.5,26.3,66.7,Si,0.544,329.0,2,2,1,2024,8,6,26.0
2024-08-06,T16_N1P1K2,,,,,,,,,,,,,,,,,,,,6.43,22.5,27.9,26.4,62.6,Si,0.201,336.0,1,1,2,2024,8,6,16.0
2024-08-06,T10_N1P0K0,,,,,,,,,,,,,,,,,,,,6.54,17.0,28.3,26.6,65.7,Si,0.383,263.0,1,0,0,2024,8,6,10.0
2024-08-06,T22_N2P0K1,,,,,,,,,,,,,,,,,,,,6.46,16.8,28.7,26.6,63.2,Si,0.378,510.0,2,0,1,2024,8,6,22.0
2024-08-06,T12_N1P2K0,,,,,,,,,,,,,,,,,,,,6.41,19.4,27.9,26.8,63.1,Si,0.217,651.0,1,2,0,2024,8,6,12.0
2024-08-06,T28_BIO-N0P0K0,,,,,,,,,,,,,,,,,,,,6.54,19.1,27.9,27.0,65.2,Si,0.344,633.0,0,0,0,2024,8,6,28.0
2024-08-06,T1_N0P0K0,,,,,,,,,,,,,,,,,,,,6.44,21.8,29.5,27.4,58.9,Si,0.284,672.0,0,0,0,2024,8,6,1.0
2024-08-06,T14_N1P0K2,,,,,,,,,,,,,,,,,,,,6.55,16.1,30.3,27.9,60.0,Si,0.58,725.0,1,0,2,2024,8,6,14.0
