Plant_Height (cm),Chlorophyll (SPAD),Number of Flowers,Number of Harvested Fruits,Weight of Harvested Fruits (Kg),Fruit Height (mm),Sap pH,Sap K (ppm),Sap Ca (ppm),Sap Na (ppm),Sap NO3 (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Soil K Horiba (ppm),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Soil NO3 Horiba (ppm),Soil Conductivity Horiba (mS/cm),Fruit Diameter (mm),7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],Nitrogen,Phosphorus,Potassium,Year,Month,Day,Treatment_Num
21.5,34.8,13.0,0.0,0.0,0.0,5.5,3455.0,748.5,49.05,1962.0,12.7765,6.9,86.0,80.3,14.0,225.167,0.996,0.0,5.23,39.8,33.3,30.8,53.1,0.183,428.0,2.0,2.0,2.0,2024.0,7.0,30.0,27.0
22.0,37.5,9.9,0.0,0.0,0.0,5.486,3055.0,364.1,48.65,2020.0,11.243999999999998,7.4,63.0,124.5,6.5,159.5,0.823,0.0,5.28,27.1,33.3,30.7,51.6,0.309,295.0,2.0,1.0,1.0,2024.0,7.0,30.0,24.0
18.0,37.2,15.2,0.0,0.0,0.0,5.587999999999999,3170.0,283.6,42.4,1204.0,12.114999999999998,7.6,19.0,37.1,4.0,100.8,0.165,0.0,6.24,29.6,31.7,30.6,51.8,0.118,383.0,0.0,0.0,1.0,2024.0,7.0,30.0,4.0
18.5,39.5,13.6,0.0,0.0,0.0,5.434500000000001,3260.0,217.4,57.5,1609.4,11.27,7.4,220.0,58.2,55.0,138.8,1.433,0.0,6.1,26.8,31.3,30.6,53.8,0.278,464.0,1.0,1.0,1.0,2024.0,7.0,30.0,15.0
22.0,40.1,10.9,0.0,0.0,0.0,5.892,3080.0,326.0,50.2,1744.0,10.999,7.2,41.0,45.6,8.0,138.76,0.296,0.0,6.36,25.8,31.7,31.0,51.9,0.371,508.0,0.0,2.0,2.0,2024.0,7.0,30.0,9.0
18.5,43.3,20.0,0.0,0.0,0.0,5.55,4030.0,268.9,66.8,1858.0,11.937500000000002,7.5,130.0,124.3,32.0,240.9,1.018,0.0,6.34,23.2,32.1,31.3,51.6,0.394,404.0,1.0,0.0,1.0,2024.0,7.0,30.0,13.0
13.0,39.8,11.0,0.0,0.0,0.0,5.597500000000001,3455.0,310.0,45.3,1895.0,11.656,7.2,65.0,113.60000000000002,14.0,109.0,0.657,0.0,6.42,23.5,33.1,31.5,48.7,0.172,469.0,2.0,0.0,1.0,2024.0,7.0,30.0,22.0
15.0,37.2,16.9,0.0,0.0,0.0,5.6435,3710.0,398.0,37.25,1584.0,11.611999999999998,7.2,44.0,200.8,7.0,197.25,0.631,0.0,6.27,23.6,33.3,31.7,47.9,0.556,502.0,1.0,0.0,0.0,2024.0,7.0,30.0,10.0
17.5,36.5,19.2,0.0,0.0,0.0,5.6770000000000005,3040.0,547.75,43.0,817.8,11.621999999999998,7.7,45.0,89.7,6.0,160.8,0.319,0.0,6.38,22.4,32.5,30.9,50.2,0.317,470.0,0.0,0.0,0.0,2024.0,7.0,30.0,28.0
23.0,40.3,21.0,0.0,0.0,0.0,5.616,4145.0,429.1,59.4,462.4,12.56,7.9,180.0,181.2,54.0,258.5,1.197,0.0,6.3,21.6,33.3,31.7,48.5,0.386,412.0,1.0,2.0,0.0,2024.0,7.0,30.0,12.0
17.5,34.2,15.8,0.0,0.0,0.0,5.633999999999999,3620.0,256.3,56.4,690.6,13.151,7.3,86.0,118.6,21.0,89.9,0.935,0.0,6.29,32.6,32.9,31.6,48.0,0.564,374.0,2.0,2.0,1.0,2024.0,7.0,30.0,26.0
18.0,31.1,5.0,0.0,0.0,0.0,5.930999999999999,3240.0,474.55,41.9,880.9,10.876,7.4,240.0,101.6,62.0,163.4,1.301,0.0,6.45,31.3,32.5,31.3,49.5,0.71,428.0,1.0,1.0,2.0,2024.0,7.0,30.0,16.0
17.0,35.3,25.6,0.0,0.0,0.0,5.623500000000001,3250.0,411.3,42.65,1670.0,10.773,7.4,40.0,66.2,6.0,189.3,0.401,0.0,6.4,21.6,31.7,31.4,50.6,0.261,459.0,0.0,0.0,0.0,2024.0,7.0,30.0,1.0
18.5,38.8,9.2,0.0,0.0,0.0,5.66,3480.0,184.7,53.7,1578.0,10.6015,7.3,260.0,131.25,68.0,117.95,1.478,0.0,6.35,23.6,32.1,31.2,48.1,0.546,337.0,1.0,0.0,2.0,2024.0,7.0,30.0,14.0
17.5,37.0,9.8,0.0,0.0,0.0,5.666,3960.0,118.7,60.25,2186.0,11.376,7.4,88.0,99.8,26.0,156.7,0.725,0.0,6.45,18.8,32.9,31.0,48.7,0.555,353.0,0.0,1.0,2.0,2024.0,7.0,30.0,7.0
19.0,35.7,11.1,0.0,0.0,0.0,5.5600000000000005,3340.0,174.3,54.05,1230.0,10.078,7.4,100.0,77.0,10.0,164.85,1.591,0.0,6.36,29.6,32.9,31.0,49.4,0.569,285.0,0.0,2.0,0.0,2024.0,7.0,30.0,3.0
17.0,35.7,8.3,0.0,0.0,0.0,5.961,3300.0,214.5,48.0,2033.0,10.086,7.5,17.0,51.7,2.0,366.0,0.222,0.0,6.26,22.6,32.9,30.9,50.0,0.548,322.0,2.0,0.0,2.0,2024.0,7.0,30.0,23.0
23.0,37.0,10.6,0.0,0.0,0.0,5.467,3230.0,346.9,54.2,1640.0,11.109,7.5,92.0,110.4,18.0,395.2,1.165,0.0,6.52,22.8,32.9,30.9,51.9,0.345,296.0,2.0,2.0,0.0,2024.0,7.0,30.0,21.0
22.5,33.8,10.3,0.0,0.0,0.0,6.061999999999999,3670.0,233.2,48.4,1769.0,11.4135,7.5,54.0,75.75,11.0,104.85,0.352,0.0,6.439,21.130000000000003,29.47000000000001,30.5,52.99,0.8863,603.3,0.0,0.0,2.0,2024.0,7.0,30.0,5.0
22.0,32.3,7.3,0.0,0.0,0.0,5.664,3380.0,206.2,42.0,1990.0,11.109,7.4,150.0,121.7,17.0,230.8,1.056,0.0,6.32,24.1,32.7,30.9,50.0,0.768,787.0,2.0,2.0,2.0,2024.0,7.0,30.0,30.0
22.0,35.9,15.9,0.0,0.0,0.0,5.634000000000001,3245.0,215.0,39.7,1780.0,9.800999999999998,7.5,36.0,49.0,8.0,194.9,0.783,0.0,6.39,20.8,32.9,31.2,49.2,0.578,848.0,2.0,1.0,0.0,2024.0,7.0,30.0,20.0
20.5,36.0,8.6,0.0,0.0,0.0,5.785,3080.0,181.9,43.6,1930.0,9.831999999999995,7.5,110.0,112.7,27.0,154.7,1.162,0.0,6.4,23.1,32.9,31.3,48.9,0.577,469.0,1.0,2.0,2.0,2024.0,7.0,30.0,18.0
21.5,29.6,12.7,0.0,0.0,0.0,6.071,3510.0,160.0,43.8,2700.0,10.987000000000002,7.5,94.0,73.3,16.0,140.8,0.908,0.0,6.31,20.7,32.9,31.5,50.9,1.298,666.0,1.0,1.0,1.0,2024.0,7.0,30.0,29.0
23.5,36.2,7.7,0.0,0.0,0.0,5.571,3315.0,271.5,48.5,2350.0,12.082,7.4,200.0,157.0,48.0,251.0,1.965,0.0,6.34,24.3,32.9,31.8,50.5,0.586,630.0,2.0,1.0,2.0,2024.0,7.0,30.0,25.0
20.5,32.6,7.9,0.0,0.0,0.0,5.793000000000001,2825.0,188.0,40.5,2187.0,10.715,7.5,42.0,80.0,5.0,73.8,0.711,0.0,6.25,29.4,34.1,32.1,49.1,0.575,578.0,2.0,0.0,0.0,2024.0,7.0,30.0,19.0
16.0,34.5,8.6,0.0,0.0,0.0,5.753,3400.0,200.53333333333336,41.7,2376.0,10.855,7.5,49.0,115.3,7.0,129.45,0.541,0.0,6.36,28.3,34.5,32.2,50.8,0.566,282.0,0.0,1.0,0.0,2024.0,7.0,30.0,2.0
15.5,37.6,13.6,0.0,0.0,0.0,5.751999999999999,3455.0,348.5,40.8,2615.0,12.157999999999998,7.4,110.0,66.65,13.0,187.1,0.999,0.0,6.45,27.2,33.7,32.1,47.2,0.528,554.0,0.0,1.0,1.0,2024.0,7.0,30.0,6.0
20.0,36.9,14.4,0.0,0.0,0.0,5.660000000000001,3340.0,88.9,41.8,1922.0,10.764500000000002,7.4,280.0,126.6,52.0,272.0,2.02,0.0,6.41,21.2,34.1,32.3,47.8,0.695,816.0,1.0,2.0,1.0,2024.0,7.0,30.0,17.0
17.5,34.4,22.3,0.0,0.0,0.0,5.546,3460.0,261.0,54.7,2332.0,12.898,7.5,51.0,56.3,7.0,225.8,0.703,0.0,6.39,20.6,34.1,32.3,45.6,0.552,759.0,1.0,1.0,0.0,2024.0,7.0,30.0,11.0
14.0,37.2,8.1,0.0,0.0,0.0,5.647,3470.0,478.0,42.65,1705.0,11.7525,7.4,160.0,82.8,29.0,273.9,1.218,0.0,7.064,25.51,28.67,29.22,50.19,0.5536000000000001,626.5,0.0,2.0,1.0,2024.0,7.0,30.0,8.0
24.0,44.7,12.3,0.0,0.0,0.0,5.790000000000001,3030.0,486.5,40.6,2200.0,10.995,6.7,63.0,77.5,14.0,450.0,1.43,0.0,6.380000000000001,23.49,30.74,31.430000000000007,52.25,0.4748,698.0,2.0,2.0,2.0,2024.0,8.0,6.0,27.0
27.0,45.1,10.4,0.0,0.0,0.0,5.556,3075.0,312.65,48.75,1899.0,11.342499999999998,6.8,41.0,91.5,6.0,340.0,1.117,0.0,6.29,19.2,23.9,22.5,84.9,0.073,169.0,2.0,1.0,1.0,2024.0,8.0,6.0,24.0
26.0,41.8,12.5,0.0,0.0,0.0,5.865999999999999,3480.0,165.2,49.0,2120.0,10.565,6.9,170.0,126.4,93.0,440.0,1.81,0.0,6.34,13.7,23.9,23.3,81.3,0.0,389.0,0.0,0.0,1.0,2024.0,8.0,6.0,4.0
24.5,46.4,10.5,0.0,0.0,0.0,5.7685,3455.0,216.6,54.3,1362.4,11.54,6.6,74.0,73.0,32.0,290.0,1.217,0.0,6.36,19.2,24.3,23.8,78.2,0.008,411.0,1.0,1.0,1.0,2024.0,8.0,6.0,15.0
23.5,45.0,11.1,0.0,0.0,0.0,5.811999999999999,2840.0,248.0,50.1,1330.0,10.983499999999998,7.0,120.0,70.2,40.0,380.0,1.313,0.0,6.31,19.1,26.3,24.6,76.6,0.009,546.0,0.0,2.0,2.0,2024.0,8.0,6.0,9.0
23.0,42.3,15.8,0.0,0.0,0.0,5.700000000000001,3885.0,288.3,60.8,1437.0,10.769000000000002,6.5,85.0,102.6,36.0,430.0,1.39,0.0,6.49,23.1,26.7,25.5,73.0,0.052,551.0,1.0,0.0,1.0,2024.0,8.0,6.0,13.0
24.0,45.1,13.8,0.0,0.0,0.0,5.769500000000001,3480.0,196.0,42.5,1037.0,10.744500000000002,6.8,59.0,79.8,28.0,380.0,1.04,0.0,6.54,23.1,27.1,26.1,69.6,0.023,332.0,2.0,0.0,1.0,2024.0,8.0,6.0,22.0
24.0,43.9,15.8,0.0,0.0,0.0,5.783500000000001,3320.0,294.1,38.0,1612.0,10.547,7.0,10.0,87.9,6.0,68.0,0.16,0.0,6.42,21.0,26.7,26.4,67.9,0.055,176.0,1.0,0.0,0.0,2024.0,8.0,6.0,10.0
21.0,40.1,19.6,0.0,0.0,0.0,5.823,2980.0,560.15,37.8,368.7,11.403,6.7,41.0,133.6,11.0,410.0,1.06,0.0,6.46,13.4,26.7,26.4,68.9,0.328,311.0,0.0,0.0,0.0,2024.0,8.0,6.0,28.0
21.0,47.9,16.8,0.0,0.0,0.0,5.7525,3975.0,317.6,60.4,1114.6,10.878000000000002,6.6,53.0,100.9,18.0,530.0,1.21,0.0,6.33,21.9,26.3,26.4,66.3,0.104,285.0,1.0,2.0,0.0,2024.0,8.0,6.0,12.0
25.0,43.2,12.5,0.0,0.0,0.0,5.633999999999999,3690.0,268.6,51.3,1845.0,12.677,7.0,160.0,112.1,88.0,280.0,1.43,0.0,6.57,17.4,26.3,26.3,66.6,0.053,253.0,2.0,2.0,1.0,2024.0,8.0,6.0,26.0
23.0,46.5,7.5,0.0,0.0,0.0,5.914999999999999,3330.0,167.8,41.4,1308.0,9.591,6.7,11.0,67.25,5.0,410.0,0.64,0.0,6.54,20.1,26.7,26.2,67.6,0.008,239.0,1.0,1.0,2.0,2024.0,8.0,6.0,16.0
19.5,42.5,20.2,0.0,0.0,0.0,5.593500000000001,3380.0,205.5,41.2,1728.7,11.192000000000002,6.7,47.0,72.1,16.0,310.0,0.83,0.0,6.47,20.3,26.7,26.0,68.8,0.038,214.0,0.0,0.0,0.0,2024.0,8.0,6.0,1.0
21.0,45.8,7.7,0.0,0.0,0.0,5.779000000000001,3490.0,81.0,45.15,1589.5,10.296,6.9,47.0,84.5,20.0,330.0,1.14,0.0,6.41,21.1,26.7,25.8,69.0,0.075,238.0,1.0,0.0,2.0,2024.0,8.0,6.0,14.0
21.5,41.5,9.9,0.0,0.0,0.0,5.624499999999999,3990.0,120.3,61.3,1942.0,11.800999999999998,6.9,37.0,99.8,13.0,160.0,0.61,0.0,6.35,14.6,26.3,25.6,68.3,0.392,175.0,0.0,1.0,2.0,2024.0,8.0,6.0,7.0
22.0,41.7,11.2,0.0,0.0,0.0,5.669,3365.0,187.05,53.75,1177.0,9.947,6.6,8.0,68.45,5.0,370.0,0.62,0.0,6.39,14.5,26.3,25.4,68.8,0.263,185.0,0.0,2.0,0.0,2024.0,8.0,6.0,3.0
16.5,42.2,7.0,0.0,0.0,0.0,5.871,3290.0,419.5,45.35,1795.6,11.14,7.0,43.0,86.1,12.0,250.0,0.46,0.0,6.36,15.8,25.9,25.4,69.2,0.556,161.0,2.0,0.0,2.0,2024.0,8.0,6.0,23.0
20.5,43.4,14.5,0.0,0.0,0.0,5.553999999999999,3140.0,142.7,49.7,1380.0,9.697,6.6,60.0,109.55,21.0,540.0,1.44,0.0,6.4,17.8,25.9,25.2,68.7,0.338,192.0,2.0,2.0,0.0,2024.0,8.0,6.0,21.0
17.0,37.2,14.5,0.0,0.0,0.0,6.001000000000001,3670.0,130.2,46.6,1120.0,10.568499999999998,7.1,4.0,42.0,2.0,22.0,0.067,0.0,6.46,23.3,25.9,25.1,70.1,0.092,254.0,0.0,0.0,2.0,2024.0,8.0,6.0,5.0
15.5,36.6,9.6,0.0,0.0,0.0,5.601999999999999,3270.0,461.4,50.4,2135.8,12.721999999999998,6.7,130.0,116.0,20.0,740.0,2.01,0.0,6.49,14.9,26.3,25.0,68.1,0.575,274.0,2.0,2.0,2.0,2024.0,8.0,6.0,30.0
21.5,44.0,12.0,0.0,0.0,0.0,5.760000000000001,3330.0,192.5,38.4,1440.0,10.844,6.5,43.0,51.45,21.0,540.0,0.94,0.0,6.44,19.0,26.3,25.0,71.0,0.35,283.0,2.0,1.0,0.0,2024.0,8.0,6.0,20.0
21.0,43.7,9.5,0.0,0.0,0.0,5.825,3060.0,156.6,41.3,1780.0,10.015,6.4,14.0,65.6,6.0,150.0,0.34,0.0,6.38,16.2,26.3,25.1,69.4,0.299,513.0,1.0,2.0,2.0,2024.0,8.0,6.0,18.0
24.0,45.4,12.0,0.0,0.0,0.0,6.050000000000001,3450.0,172.6,39.3,2780.0,10.876,7.0,34.0,73.3,19.0,110.0,0.46,0.0,6.41,14.6,27.5,25.6,69.7,0.388,599.0,1.0,1.0,1.0,2024.0,8.0,6.0,29.0
21.0,41.5,8.9,0.0,0.0,0.0,5.589999999999999,3325.0,285.5,45.5,2040.0,11.699,6.6,31.0,142.6,10.0,190.0,0.67,0.0,6.31,19.3,27.5,26.5,68.1,0.322,620.0,2.0,1.0,2.0,2024.0,8.0,6.0,25.0
23.0,37.8,11.5,0.0,0.0,0.0,5.726000000000001,3120.0,169.7,44.1,1162.0,9.037,6.5,49.0,17.85,2.0,34.0,0.089,0.0,6.31,14.0,27.9,27.1,66.6,0.974,290.0,2.0,0.0,0.0,2024.0,8.0,6.0,19.0
24.0,39.3,9.4,0.0,0.0,0.0,5.587,3300.0,189.0,48.6,1691.0,10.198000000000002,6.7,670.0,92.1,10.0,650.0,1.36,0.0,6.37,16.5,28.3,27.2,62.4,0.332,199.0,0.0,1.0,0.0,2024.0,8.0,6.0,2.0
25.0,38.6,9.4,0.0,0.0,0.0,5.814,3475.0,276.0,40.0,2460.0,11.111,6.6,2200.0,88.05,26.0,666.0,1.38,0.0,6.43,19.5,28.3,27.1,64.6,0.278,199.0,0.0,1.0,1.0,2024.0,8.0,6.0,6.0
22.0,41.7,15.6,0.0,0.0,0.0,5.57,3520.0,424.0,42.2,1853.0,11.596,7.2,2800.0,87.4,40.0,620.0,1.51,0.0,6.45,15.2,27.9,26.8,61.3,0.537,243.0,1.0,2.0,1.0,2024.0,8.0,6.0,17.0
28.0,37.0,23.2,0.0,0.0,0.0,5.69,3575.0,218.0,56.5,2407.0,12.499,7.3,3400.0,55.1,59.0,786.0,1.95,0.0,6.44,20.1,27.5,26.0,67.8,0.348,282.0,1.0,1.0,0.0,2024.0,8.0,6.0,11.0
30.0,42.1,9.1,0.0,0.0,0.0,5.707000000000001,3580.0,467.0,43.8,1878.0,11.575,7.1,1700.0,84.7,29.0,720.0,1.77,0.0,6.45,16.2,27.5,26.0,64.9,0.293,307.0,0.0,2.0,1.0,2024.0,8.0,6.0,8.0
111.45,51.27,14.2,0.0,0.0,0.0,5.58,3465.0,228.0,52.5,1292.0,11.2075,6.67,175.95,73.5,37.4,267.36,1.3301,0.0,6.39,17.0,27.5,26.0,67.3,0.343,297.0,0.0,2.0,2.0,2024.0,8.0,6.0,9.0
172.1,58.08,11.1,0.0,0.0,0.0,5.6725,3580.0,259.0,60.2,1352.0,10.3785,6.48,68.3,68.5,7.05,29.3,0.5715999999999999,0.0,6.34,15.4,27.5,26.1,63.3,0.271,590.0,1.0,0.0,1.0,2024.0,8.0,6.0,13.0
63.75,47.830000000000005,15.9,0.0,0.0,0.0,5.622,3635.0,236.6,57.4,1475.4,12.386,7.046000000000001,63.6,58.6,30.7,122.2,0.4216999999999999,0.0,6.44,22.5,27.5,26.3,66.7,0.544,329.0,2.0,2.0,1.0,2024.0,8.0,6.0,26.0
69.1,46.28000000000001,14.1,0.0,0.0,0.0,5.905500000000001,3190.0,265.5,41.9,879.0,9.579,6.682,22.7,33.85,6.05,63.3,0.1481,0.0,6.43,22.5,27.9,26.4,62.6,0.201,336.0,1.0,1.0,2.0,2024.0,8.0,6.0,16.0
104.1,50.67,16.2,0.0,0.0,0.0,5.734000000000001,3385.0,342.0,38.3,1620.0,10.333,6.722999999999999,37.3,131.4,10.5,83.5,0.5137,0.0,6.54,17.0,28.3,26.6,65.7,0.383,263.0,1.0,0.0,0.0,2024.0,8.0,6.0,10.0
64.8,49.7,13.5,0.0,0.0,0.0,5.7620000000000005,3465.0,300.5,43.1,1723.0,11.565500000000002,6.9,56.7,70.18333333333335,13.65,65.0,0.484,0.0,6.46,16.8,28.7,26.6,63.2,0.378,510.0,2.0,0.0,1.0,2024.0,8.0,6.0,22.0
