Feature,RF,SVM,KNN,MLP,XGB
Chlorophyll (SPAD),-0.0043200785468826925,-0.025625920471281326,-0.01050564555719193,-0.00510554737358864,-0.011585665193912627
Sap pH,0.003141875306823742,0.003240058910161984,-0.004320078546882663,0.019538537064310236,-0.006480117820324001
Sap K (ppm),0.0032400589101619875,-0.00137457044673542,-0.001080019636720649,0.0036327933235149527,0.0020618556701030855
Sap Ca (ppm),-0.004909180166912156,-0.020618556701030955,-0.006185567010309264,0.00412371134020616,-0.010702012763868432
Sap Na (ppm),0.01305841924398623,0.0011782032400588912,-0.007560137457044661,0.003632793323514949,0.013843888070692194
Sap NO3 (ppm),0.01757486499754539,0.021502209131075086,0.007363770250368195,0.030044182621502182,0.019636720667648495
Sap Conductivity (mS/cm),0.001472754050073614,-0.005007363770250398,0.0024545900834560836,-0.0033382425135002744,0.0020618556701030855
Soil pH Horiba,-0.004123711340206208,-0.01590574374079531,-0.010505645557191934,-0.00196367206676488,-0.007952871870397645
Soil K Horiba (ppm),0.006381934216985741,-0.0008836524300442054,0.0007854688267059447,0.010309278350515434,0.0035346097201767327
Soil Ca Horiba (ppm),-0.0007854688267059595,-0.014727540500736403,0.001570937653411893,-0.0017673048600883887,0.0030436917034855145
Soil Na Horiba (ppm),0.0015709376534118636,-0.010996563573883185,-0.01138929798723611,0.0025527736867942815,-0.0026509572901325497
Soil NO3 Horiba (ppm),0.0007854688267059225,-0.006381934216985796,-0.0057928325969562955,-0.0002945508100147561,-0.00756013745704468
Soil Conductivity Horiba (mS/cm),0.00618556701030926,0.0,0.0,-0.00039273441335298714,-0.0023564064801178232
7in1_Ph(pH),-0.0014727540500736622,-0.004810996563573903,0.0013745704467354124,0.005203730976926831,-0.0012763868433971518
7in1_Moisture(%RH),-0.002847324496809067,-0.012862052037309798,-0.009131075110456532,0.0016691212567500947,-0.0016691212567501168
7in1_S_Temperature(C),-0.0043200785468826995,-0.012371134020618579,-0.0075601374570446545,0.0005891016200294271,-0.002749140893470792
Air_sensor_Temperature(C),0.0019636720667648285,0.004123711340206153,-0.0008836524300441684,0.0036327933235149453,-0.0019636720667648433
Air_sensor_Humidity(%RH),-0.004712812960235668,0.0009818360333823995,0.004418262150220923,-0.002356406480117849,-0.004810996563573881
7in1_Conductivity(mS/cm),-0.005694648993618093,-0.004320078546882696,-0.002061855670103078,-0.006480117820324035,-0.0025527736867943037
Pynamometer_Radiation(W/m2),0.003927344133529687,-0.007461953853706452,-0.012076583210603809,0.004221894943544402,-0.0004909180166912108
