Feature,RF,SVM,KNN,MLP,XGB
Chlorophyll (SPAD),0.009550045913682336,0.040587695133149665,0.03140495867768593,0.06391184573002755,0.015059687786960534
Sap pH,0.007897153351698863,0.013957759412304852,0.010835629017447175,0.03691460055096421,0.0018365472910927643
Sap K (ppm),0.0020202020202020553,0.018732782369146002,0.016161616161616155,0.021120293847566595,0.004775022956841165
Sap Ca (ppm),0.021487603305785155,0.07952249770431588,0.0460973370064279,0.11533516988062444,0.06042240587695136
Sap Na (ppm),0.06078971533516993,0.056382001836547284,0.02479338842975205,0.0817263544536272,0.051423324150596895
Sap NO3 (ppm),0.06905417814508728,0.08025711662075295,0.04389348025711661,0.10541781450872362,0.10082644628099174
Sap Conductivity (mS/cm),0.008264462809917394,0.029935720844811744,0.024609733700642775,0.0426078971533517,0.02093663911845732
Soil pH Horiba,0.0247933884297521,0.03911845730027546,0.02699724517906336,0.043158861340679526,0.017079889807162543
Soil K Horiba (ppm),0.043526170798898124,0.004224058769513299,0.0025711662075298403,0.020752984389348035,0.04977043158861342
Soil Ca Horiba (ppm),0.032690541781450914,0.06574839302112027,0.015059687786960495,0.10211202938475669,0.07750229568411386
Soil Na Horiba (ppm),0.010284664830119436,0.01616161616161614,0.007162534435261699,0.0339761248852158,0.022222222222222233
Soil NO3 Horiba (ppm),0.005509641873278285,0.008999081726354434,0.006244260789715309,0.03140495867768595,0.03452708907254364
Soil Conductivity Horiba (mS/cm),0.021303948576675894,0.0,0.0,0.006244260789715354,0.02185491276400368
7in1_Ph(pH),0.004775022956841187,0.011202938475665735,0.008448117539026611,0.021671258034894426,0.009550045913682293
7in1_Moisture(%RH),0.008080808080808126,0.029384756657483916,0.008080808080808058,0.02332415059687789,0.0027548209366391537
7in1_S_Temperature(C),0.004407713498622634,0.0426078971533517,0.004591368227731859,0.057667584940312225,0.014508723599632697
Air_sensor_Temperature(C),0.0012855831037649793,0.02883379247015608,0.008999081726354457,0.04058769513314968,0.012672176308539961
Air_sensor_Humidity(%RH),0.0014692378328742335,0.022038567493112934,0.0077134986225895355,0.010468319559228674,0.0077134986225895355
7in1_Conductivity(mS/cm),0.0036730945821855433,0.0038567493112947678,-0.006427915518824623,0.004958677685950419,0.012672176308539961
Pynamometer_Radiation(W/m2),0.005325987144169009,0.020385674931129454,0.006611570247933884,0.033241505968778715,0.004591368227731881
