iteraciones,accuracy,Best Model
1,0.8759130345324234,XGB
2,0.8726106786461368,XGB
3,0.8593909673879498,RF
4,0.8709577860841534,XGB
5,0.8627036109872777,XGB
6,0.8684990226672611,XGB
7,0.865193237543294,XGB
8,0.8726243955968588,XGB
9,0.8577415040636467,RF
10,0.8635163403175474,XGB
11,0.8684921641919001,XGB
12,0.8602105551935804,XGB
13,0.8693186104728919,XGB
14,0.8627173279379994,XGB
15,0.8750934467267925,XGB
16,0.8701347690408422,XGB
17,0.8676657179109085,XGB
18,0.8775796440451288,XGB
19,0.8709886492232777,XGB
20,0.8709543568464732,XGB
