iteraciones,accuracy,Best Model
1,0.8925619834710744,XGB
2,0.8567493112947658,XGB
3,0.8760330578512396,XGB
4,0.859504132231405,XGB
5,0.8842975206611571,XGB
6,0.8732782369146006,SVM
7,0.8815426997245179,XGB
8,0.8650137741046832,XGB
9,0.8760330578512396,XGB
10,0.8760330578512396,XGB
11,0.8760330578512396,RF
12,0.8319559228650137,RF
13,0.837465564738292,XGB
14,0.8787878787878788,XGB
15,0.8347107438016529,XGB
16,0.8732782369146006,XGB
17,0.859504132231405,XGB
18,0.8677685950413223,RF
19,0.8732782369146006,XGB
20,0.8705234159779615,SVM
