Iteracion,Accuracy N,Best Model N,Accuracy P,Best Model P,Accuracy K,Best Model K
1,0.7878030436226533,XGB,0.8037048975365801,XGB,0.8187647736818457,XGB
2,0.7873586122018403,RF,0.8156498466467405,XGB,0.8240471585692237,XGB
3,0.7926869053898298,XGB,0.8076920822833031,XGB,0.8231514583211237,XGB
4,0.7877952294438257,RF,0.8041522592744534,XGB,0.8213913145402332,XGB
5,0.785603352282717,RF,0.7984234894215554,XGB,0.8214030358084745,XGB
6,0.787353728340073,XGB,0.8068188477993319,XGB,0.8227324229814998,XGB
7,0.7882318466858114,RF,0.8059309617300592,XGB,0.8222821309265662,XGB
8,0.7886743245619176,RF,0.8023911387212095,XGB,0.8151985778194533,XGB
9,0.788690929691926,XGB,0.8191935767450038,XGB,0.8174148742893982,XGB
10,0.7895524429076559,RF,0.8001689816171444,XGB,0.8222987360565746,XGB
11,0.7851491531383695,XGB,0.8063646486549846,XGB,0.8196350778487564,XGB
12,0.7900085955967102,XGB,0.8072486276348435,XGB,0.8196233565805153,XGB
13,0.79179413545879,XGB,0.8068120103928578,XGB,0.8183027603586709,XGB
14,0.7811658754810604,XGB,0.8010715192717186,XGB,0.8235929594248764,XGB
15,0.7913272382738479,XGB,0.8072456973177831,XGB,0.821397175174354,XGB
16,0.7926673699427612,RF,0.7970667526226338,XGB,0.8191886928832366,XGB
17,0.7873517747953661,RF,0.7979741741389751,XGB,0.8209576276153079,XGB
18,0.7935337670202582,RF,0.8050381917990194,XGB,0.8165318720818926,XGB
19,0.7847076520346168,XGB,0.8001846099747991,XGB,0.8240598566098185,XGB
20,0.793544511516146,XGB,0.8085604329055072,XGB,0.8227177713961982,XGB
