Iteracion,Accuracy N,Best Model N,Accuracy P,Best Model P,Accuracy K,Best Model K
1,0.7761413843888071,XGB,0.812960235640648,XGB,0.812960235640648,XGB
2,0.8114874815905744,XGB,0.8070692194403535,XGB,0.8026509572901326,XGB
3,0.7820324005891016,RF,0.7893961708394698,XGB,0.7967599410898379,XGB
4,0.8041237113402062,XGB,0.8085419734904271,XGB,0.8041237113402062,XGB
5,0.8026509572901326,RF,0.8026509572901326,XGB,0.8203240058910162,XGB
6,0.7893961708394698,RF,0.792341678939617,XGB,0.8070692194403535,XGB
7,0.7982326951399117,XGB,0.801178203240059,XGB,0.833578792341679,XGB
8,0.8055964653902798,XGB,0.7849779086892489,XGB,0.8026509572901326,XGB
9,0.7525773195876289,RF,0.792341678939617,XGB,0.8409425625920471,XGB
10,0.8070692194403535,XGB,0.7835051546391752,XGB,0.801178203240059,XGB
11,0.7776141384388807,RF,0.8203240058910162,XGB,0.801178203240059,RF
12,0.7908689248895434,RF,0.7835051546391752,XGB,0.8232695139911634,XGB
13,0.8026509572901326,XGB,0.801178203240059,XGB,0.812960235640648,XGB
14,0.7849779086892489,XGB,0.8070692194403535,XGB,0.8379970544918999,XGB
15,0.7702503681885126,RF,0.7952871870397643,XGB,0.8159057437407953,RF
16,0.7790868924889544,XGB,0.7967599410898379,XGB,0.7952871870397643,XGB
17,0.8041237113402062,XGB,0.7849779086892489,XGB,0.8291605301914581,XGB
18,0.7879234167893961,XGB,0.7643593519882179,XGB,0.8026509572901326,XGB
19,0.7938144329896907,XGB,0.792341678939617,XGB,0.8276877761413843,XGB
20,0.8026509572901326,XGB,0.792341678939617,XGB,0.812960235640648,RF
