weight_2_Quartiles_RF,weight_2_Quartiles_KNN,weight_2_Quartiles_SVM,weight_2_Quartiles_MLP,weight_2_Quartiles_XGB
Soil K Horiba (ppm),Soil pH Horiba,Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm)
Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm)
Soil pH Horiba,7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),Soil Ca Horiba (ppm)
Sap Na (ppm),Soil Ca Horiba (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Na (ppm)
Soil Ca Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Sap Ca (ppm)
Soil Conductivity Horiba (mS/cm),Sap Ca (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Chlorophyll (SPAD)
7in1_S_Temperature(C),Air_sensor_Temperature(C),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm)
Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil pH Horiba
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH),
Air_sensor_Temperature(C),7in1_Moisture(%RH),Air_sensor_Temperature(C),,
