Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm)
Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap Ca (ppm),Sap NO3 (ppm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm),Sap Na (ppm)
7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Sap Na (ppm),Soil Na Horiba (ppm),Sap Conductivity (mS/cm),Soil Na Horiba (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm)
Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Sap Na (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Soil pH Horiba,7in1_S_Temperature(C),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Sap Na (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Sap Conductivity (mS/cm)
Chlorophyll (SPAD),Soil pH Horiba,Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Air_sensor_Temperature(C),Sap Na (ppm),Soil Na Horiba (ppm),Air_sensor_Humidity(%RH),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C)
Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),Soil pH Horiba,Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil pH Horiba,Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Soil pH Horiba,Sap Conductivity (mS/cm),Soil Na Horiba (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),7in1_S_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),7in1_S_Temperature(C)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil pH Horiba,Air_sensor_Temperature(C),Chlorophyll (SPAD),Soil pH Horiba,Soil pH Horiba,Sap Na (ppm),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Sap Na (ppm),Air_sensor_Temperature(C),Soil pH Horiba,7in1_S_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Air_sensor_Humidity(%RH)
Air_sensor_Temperature(C),Chlorophyll (SPAD),Chlorophyll (SPAD),Soil pH Horiba,Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Air_sensor_Temperature(C),Soil Na Horiba (ppm),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil K Horiba (ppm),Sap Na (ppm),Chlorophyll (SPAD),Soil Na Horiba (ppm)
Soil pH Horiba,Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Pynamometer_Radiation(W/m2),Sap Conductivity (mS/cm),Air_sensor_Humidity(%RH),Soil K Horiba (ppm),Air_sensor_Humidity(%RH),Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH),Soil K Horiba (ppm),Soil pH Horiba,Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Soil K Horiba (ppm),Soil pH Horiba,Soil K Horiba (ppm),Soil pH Horiba,Chlorophyll (SPAD)
Pynamometer_Radiation(W/m2),,Pynamometer_Radiation(W/m2),Sap pH,Soil NO3 Horiba (ppm),Sap pH,,Air_sensor_Humidity(%RH),Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH),Soil K Horiba (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Soil K Horiba (ppm),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Chlorophyll (SPAD),Soil K Horiba (ppm),Soil K Horiba (ppm)
