Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Soil Ca Horiba (ppm),7in1_S_Temperature(C),Soil K Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm)
Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Sap Ca (ppm),7in1_S_Temperature(C)
Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil pH Horiba,7in1_S_Temperature(C),7in1_S_Temperature(C),Sap NO3 (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap NO3 (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil K Horiba (ppm)
Chlorophyll (SPAD),7in1_S_Temperature(C),Soil pH Horiba,Soil pH Horiba,7in1_S_Temperature(C),Sap Ca (ppm),Soil pH Horiba,Chlorophyll (SPAD),Soil pH Horiba,7in1_S_Temperature(C),Soil Na Horiba (ppm),Soil K Horiba (ppm),Sap Ca (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap Na (ppm)
Soil pH Horiba,Sap Ca (ppm),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Chlorophyll (SPAD),7in1_S_Temperature(C),Soil pH Horiba,Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Soil K Horiba (ppm),Sap Na (ppm),Sap Ca (ppm),Soil K Horiba (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm),Sap Conductivity (mS/cm),Soil Ca Horiba (ppm)
7in1_S_Temperature(C),Chlorophyll (SPAD),Chlorophyll (SPAD),7in1_S_Temperature(C),Soil pH Horiba,7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Soil K Horiba (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Soil K Horiba (ppm),Sap Ca (ppm)
Sap Na (ppm),Sap Na (ppm),Pynamometer_Radiation(W/m2),Sap Na (ppm),Chlorophyll (SPAD),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Sap Conductivity (mS/cm),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Sap K (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Sap Na (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Soil pH Horiba,Sap Conductivity (mS/cm),Soil pH Horiba,Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil pH Horiba,Chlorophyll (SPAD),Sap Conductivity (mS/cm)
Air_sensor_Temperature(C),Sap K (ppm),Sap pH,Sap pH,Sap Na (ppm),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Sap K (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil Na Horiba (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Sap Na (ppm),Sap Na (ppm),Soil pH Horiba
Sap pH,Air_sensor_Temperature(C),Sap Na (ppm),7in1_Moisture(%RH),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Sap Conductivity (mS/cm),Sap pH,Sap pH,Soil pH Horiba,Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Sap Conductivity (mS/cm),Soil pH Horiba,Soil pH Horiba,Chlorophyll (SPAD),Soil pH Horiba,Chlorophyll (SPAD)
Pynamometer_Radiation(W/m2),7in1_Conductivity(mS/cm),Sap K (ppm),Pynamometer_Radiation(W/m2),Sap pH,Air_sensor_Temperature(C),7in1_Conductivity(mS/cm),Pynamometer_Radiation(W/m2),Sap K (ppm),7in1_Moisture(%RH),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Chlorophyll (SPAD),Soil pH Horiba,7in1_Moisture(%RH),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C)
Air_sensor_Humidity(%RH),,Soil NO3 Horiba (ppm),Sap K (ppm),Sap K (ppm),Sap pH,7in1_Moisture(%RH),7in1_Moisture(%RH),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),7in1_Conductivity(mS/cm),Air_sensor_Temperature(C),Sap K (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2)
,,,,,,,,,,,,Air_sensor_Humidity(%RH),,,,,,,
