weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Soil NO3 Horiba (ppm),Sap Na (ppm),Sap Ca (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Chlorophyll (SPAD),7in1_S_Temperature(C),Sap Na (ppm),Air_sensor_Temperature(C),Sap Na (ppm)
Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2),Soil Conductivity Horiba (mS/cm),Sap Ca (ppm)
Sap NO3 (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Sap NO3 (ppm),Chlorophyll (SPAD)
Sap Ca (ppm),Sap Ca (ppm),7in1_Moisture(%RH),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Na (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Sap Na (ppm),Soil Na Horiba (ppm)
Sap K (ppm),Soil Conductivity Horiba (mS/cm),Sap Conductivity (mS/cm),Sap Ca (ppm),Soil Conductivity Horiba (mS/cm)
Soil K Horiba (ppm),Air_sensor_Temperature(C),Sap K (ppm),7in1_S_Temperature(C),Soil K Horiba (ppm)
Soil Ca Horiba (ppm),Sap NO3 (ppm),Chlorophyll (SPAD),Sap K (ppm),Sap K (ppm)
Soil Na Horiba (ppm),7in1_Moisture(%RH),7in1_S_Temperature(C),Soil Ca Horiba (ppm),Sap NO3 (ppm)
Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Soil Ca Horiba (ppm),7in1_Moisture(%RH),Soil Ca Horiba (ppm)
Soil Conductivity Horiba (mS/cm),Sap pH,Soil Conductivity Horiba (mS/cm),Soil pH Horiba,7in1_S_Temperature(C)
7in1_S_Temperature(C),Sap K (ppm),Air_sensor_Temperature(C),7in1_Conductivity(mS/cm),Air_sensor_Temperature(C)
