weight_3_Potassium_RF,weight_3_Potassium_SVM,weight_3_Potassium_KNN,weight_3_Potassium_MLP,weight_3_Potassium_XGB
Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Soil K Horiba (ppm),Soil pH Horiba,Pynamometer_Radiation(W/m2),Sap Ca (ppm),Sap Ca (ppm)
Sap Ca (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Soil pH Horiba,Soil pH Horiba
Sap Na (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap pH,Sap Na (ppm)
Soil pH Horiba,7in1_S_Temperature(C),7in1_Moisture(%RH),Sap Na (ppm),Soil K Horiba (ppm)
Chlorophyll (SPAD),Sap Na (ppm),Sap Na (ppm),7in1_S_Temperature(C),Sap NO3 (ppm)
Sap NO3 (ppm),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Sap NO3 (ppm),Sap pH
Air_sensor_Humidity(%RH),Sap NO3 (ppm),7in1_Ph(pH),Soil Ca Horiba (ppm),Soil NO3 Horiba (ppm)
Air_sensor_Temperature(C),Sap pH,Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Chlorophyll (SPAD)
7in1_Ph(pH),Chlorophyll (SPAD),7in1_S_Temperature(C),Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm)
Pynamometer_Radiation(W/m2),7in1_Moisture(%RH),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Soil Na Horiba (ppm)
7in1_S_Temperature(C),7in1_Ph(pH),Chlorophyll (SPAD),Air_sensor_Temperature(C),7in1_Ph(pH)
