weight_3_Nitrogen_XGB,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_RF
Soil NO3 Horiba (ppm),Sap Na (ppm),Sap Na (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Sap Na (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Air_sensor_Temperature(C),Chlorophyll (SPAD)
Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Conductivity (mS/cm)
Chlorophyll (SPAD),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Ca (ppm),Sap NO3 (ppm)
Sap Ca (ppm),Sap Conductivity (mS/cm),Sap NO3 (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm)
Soil Conductivity Horiba (mS/cm),Soil NO3 Horiba (ppm),7in1_Moisture(%RH),Soil Conductivity Horiba (mS/cm),Sap Na (ppm)
Soil K Horiba (ppm),7in1_Moisture(%RH),Soil pH Horiba,Sap NO3 (ppm),Sap K (ppm)
Soil Na Horiba (ppm),Soil Conductivity Horiba (mS/cm),Sap K (ppm),7in1_S_Temperature(C),Soil K Horiba (ppm)
Sap K (ppm),Sap NO3 (ppm),Pynamometer_Radiation(W/m2),Sap K (ppm),Soil Ca Horiba (ppm)
Sap NO3 (ppm),Air_sensor_Temperature(C),7in1_S_Temperature(C),Chlorophyll (SPAD),Soil Na Horiba (ppm)
7in1_S_Temperature(C),Sap pH,Soil Ca Horiba (ppm),,Air_sensor_Temperature(C)
,Soil pH Horiba,Air_sensor_Temperature(C),,Soil Conductivity Horiba (mS/cm)
,Sap K (ppm),,,7in1_S_Temperature(C)
