Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap Na (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap NO3 (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap Ca (ppm)
Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm)
Sap NO3 (ppm),Sap Na (ppm),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Sap Ca (ppm),7in1_Moisture(%RH),Soil pH Horiba,Sap Conductivity (mS/cm),7in1_Moisture(%RH),Sap Na (ppm),Sap NO3 (ppm),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Chlorophyll (SPAD),7in1_Moisture(%RH),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Na (ppm),Chlorophyll (SPAD)
Sap Ca (ppm),Sap Conductivity (mS/cm),Sap NO3 (ppm),7in1_Moisture(%RH),7in1_Moisture(%RH),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap NO3 (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Na (ppm),Sap NO3 (ppm),7in1_Moisture(%RH),7in1_Moisture(%RH),Sap NO3 (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap NO3 (ppm),Sap Na (ppm)
Chlorophyll (SPAD),Chlorophyll (SPAD),7in1_Moisture(%RH),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil pH Horiba,Chlorophyll (SPAD),7in1_Moisture(%RH),Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),Chlorophyll (SPAD),7in1_Moisture(%RH),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Sap Conductivity (mS/cm),Sap NO3 (ppm),7in1_Moisture(%RH),7in1_Moisture(%RH),7in1_Moisture(%RH)
Sap K (ppm),Soil pH Horiba,Soil pH Horiba,Air_sensor_Temperature(C),Soil pH Horiba,Sap NO3 (ppm),7in1_Moisture(%RH),7in1_S_Temperature(C),Soil pH Horiba,Sap NO3 (ppm),Sap K (ppm),Pynamometer_Radiation(W/m2),Soil pH Horiba,Sap K (ppm),Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba
7in1_Moisture(%RH),7in1_Moisture(%RH),Sap Conductivity (mS/cm),Sap K (ppm),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),Sap NO3 (ppm),Sap K (ppm),Sap Conductivity (mS/cm),7in1_Moisture(%RH),7in1_Moisture(%RH),Soil pH Horiba,Sap Conductivity (mS/cm),Soil pH Horiba,Sap Conductivity (mS/cm),7in1_S_Temperature(C),7in1_Moisture(%RH),Sap K (ppm),Sap Conductivity (mS/cm),Sap NO3 (ppm)
Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Sap K (ppm),7in1_S_Temperature(C),Sap pH,Chlorophyll (SPAD),7in1_S_Temperature(C),Soil pH Horiba,Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Soil pH Horiba,Sap K (ppm),Sap K (ppm),7in1_S_Temperature(C),Sap K (ppm),Chlorophyll (SPAD),Air_sensor_Temperature(C),7in1_S_Temperature(C),Sap K (ppm),Sap K (ppm)
Soil pH Horiba,Sap K (ppm),Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Sap K (ppm),Sap K (ppm),Sap NO3 (ppm),Sap K (ppm),Sap K (ppm),Air_sensor_Temperature(C),7in1_S_Temperature(C),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),7in1_Ph(pH),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2)
