Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Sap Na (ppm),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Air_sensor_Temperature(C),Sap Ca (ppm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Sap NO3 (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Ca (ppm),Air_sensor_Temperature(C),Sap Na (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Air_sensor_Temperature(C),Sap Na (ppm),Sap Na (ppm),Air_sensor_Temperature(C),Sap Ca (ppm),Air_sensor_Temperature(C),Sap Na (ppm)
Sap Na (ppm),Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap Ca (ppm),Air_sensor_Temperature(C),Sap Ca (ppm),Soil Conductivity Horiba (mS/cm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap Ca (ppm),Soil Conductivity Horiba (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),Soil Conductivity Horiba (mS/cm),Sap Na (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Ca (ppm),Sap Ca (ppm),Sap Na (ppm),7in1_S_Temperature(C),Sap Ca (ppm)
Sap NO3 (ppm),7in1_S_Temperature(C),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Sap Na (ppm),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap Na (ppm),Soil Conductivity Horiba (mS/cm),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Sap Na (ppm),Air_sensor_Temperature(C)
7in1_S_Temperature(C),Sap Ca (ppm),Soil Conductivity Horiba (mS/cm),7in1_S_Temperature(C),Soil K Horiba (ppm),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Conductivity (mS/cm),Soil K Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),7in1_S_Temperature(C)
Soil Conductivity Horiba (mS/cm),Sap Na (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Sap NO3 (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Sap Ca (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Sap NO3 (ppm),Chlorophyll (SPAD),Sap NO3 (ppm)
Chlorophyll (SPAD),Sap K (ppm),Soil Ca Horiba (ppm),Soil K Horiba (ppm),Sap pH,Sap K (ppm),Sap K (ppm),7in1_Conductivity(mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap K (ppm),Sap K (ppm),Sap K (ppm),Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),Sap K (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Chlorophyll (SPAD)
