Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap Na (ppm)
Sap Ca (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Chlorophyll (SPAD),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Na (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Ca (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Ca (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Ca (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Na (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Sap Ca (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Conductivity (mS/cm)
Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm),7in1_Moisture(%RH),7in1_Moisture(%RH),Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Ca (ppm),Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),7in1_Moisture(%RH),7in1_Moisture(%RH),Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Ca (ppm)
Soil NO3 Horiba (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),7in1_Moisture(%RH),7in1_S_Temperature(C),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Sap Ca (ppm),Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),7in1_Moisture(%RH),7in1_S_Temperature(C)
Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),Sap Ca (ppm),Air_sensor_Temperature(C),7in1_S_Temperature(C),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),7in1_Moisture(%RH),Air_sensor_Temperature(C),Sap Ca (ppm),Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm),Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),7in1_Moisture(%RH)
7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap NO3 (ppm),Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),Sap Ca (ppm),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap pH,Soil NO3 Horiba (ppm)
7in1_Moisture(%RH),Sap NO3 (ppm),7in1_Moisture(%RH),Soil NO3 Horiba (ppm),Sap K (ppm),Soil Conductivity Horiba (mS/cm),7in1_Moisture(%RH),7in1_Moisture(%RH),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Air_sensor_Temperature(C),Sap NO3 (ppm),Air_sensor_Temperature(C),Soil Conductivity Horiba (mS/cm),7in1_Moisture(%RH),7in1_Moisture(%RH),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm)
Sap NO3 (ppm),Air_sensor_Temperature(C),Sap NO3 (ppm),7in1_Moisture(%RH),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Soil pH Horiba,Soil NO3 Horiba (ppm),Sap pH,Sap NO3 (ppm),Sap pH,Air_sensor_Temperature(C),Sap NO3 (ppm),7in1_Moisture(%RH),Sap pH,Air_sensor_Temperature(C),Soil Conductivity Horiba (mS/cm),Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),Sap NO3 (ppm)
