Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm)
Sap Na (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm)
Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm),Sap Conductivity (mS/cm),Soil K Horiba (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD)
Sap Ca (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Ca (ppm),Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm),Sap Conductivity (mS/cm),Soil K Horiba (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm)
Soil Conductivity Horiba (mS/cm),Soil Na Horiba (ppm),Soil Conductivity Horiba (mS/cm),Sap Ca (ppm),Sap K (ppm),Soil Na Horiba (ppm),Sap K (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Sap K (ppm),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),Soil Na Horiba (ppm),Chlorophyll (SPAD),Sap K (ppm),Soil Na Horiba (ppm),Sap K (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Na Horiba (ppm)
Soil Na Horiba (ppm),Sap Ca (ppm),Soil K Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil K Horiba (ppm),Sap K (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Sap K (ppm),Sap NO3 (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),Soil K Horiba (ppm),Sap K (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Sap K (ppm),Soil K Horiba (ppm),Sap K (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap K (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Sap K (ppm)
Sap NO3 (ppm),Sap K (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Sap NO3 (ppm),Sap K (ppm),Soil Na Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm)
