Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap Na (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap Ca (ppm)
Sap Conductivity (mS/cm),Soil pH Horiba,Soil pH Horiba,Sap Ca (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Sap Na (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Conductivity (mS/cm),Sap Na (ppm),Soil Ca Horiba (ppm),Sap Ca (ppm),Sap NO3 (ppm),Soil pH Horiba,Sap Ca (ppm),Sap Na (ppm),Chlorophyll (SPAD),Soil pH Horiba
7in1_S_Temperature(C),Sap Na (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap NO3 (ppm),Sap NO3 (ppm),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Soil pH Horiba,Chlorophyll (SPAD),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil pH Horiba,Sap Na (ppm),Chlorophyll (SPAD),Sap Na (ppm),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Sap Na (ppm),Sap Na (ppm)
Soil pH Horiba,Chlorophyll (SPAD),Sap Ca (ppm),Sap Na (ppm),Soil pH Horiba,7in1_S_Temperature(C),Soil pH Horiba,7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil Ca Horiba (ppm),Sap Ca (ppm),Air_sensor_Temperature(C),Soil pH Horiba,7in1_Moisture(%RH),Soil pH Horiba,Chlorophyll (SPAD),7in1_S_Temperature(C),Sap NO3 (ppm)
Chlorophyll (SPAD),Sap Ca (ppm),Soil Ca Horiba (ppm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Soil pH Horiba,Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Sap Na (ppm),Soil pH Horiba,7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Chlorophyll (SPAD)
Sap Na (ppm),7in1_S_Temperature(C),Sap Na (ppm),Soil pH Horiba,Pynamometer_Radiation(W/m2),Sap K (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Chlorophyll (SPAD),7in1_Moisture(%RH),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Soil pH Horiba,7in1_S_Temperature(C)
Sap Ca (ppm),Soil Ca Horiba (ppm),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),7in1_Moisture(%RH),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Sap pH,Sap Na (ppm),Sap NO3 (ppm),Soil pH Horiba,Air_sensor_Temperature(C),Sap Na (ppm),Air_sensor_Humidity(%RH),Sap Na (ppm),Sap K (ppm),7in1_Moisture(%RH),Soil pH Horiba,Air_sensor_Temperature(C),Sap Conductivity (mS/cm)
Sap K (ppm),Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2),Soil Ca Horiba (ppm),Sap Na (ppm),Soil pH Horiba,7in1_Moisture(%RH),Chlorophyll (SPAD),Sap Ca (ppm),Sap K (ppm),Soil Ca Horiba (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Soil Ca Horiba (ppm),Sap pH,Air_sensor_Humidity(%RH),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap Ca (ppm),Sap K (ppm)
Soil Ca Horiba (ppm),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap K (ppm),7in1_Moisture(%RH),7in1_Moisture(%RH),Air_sensor_Temperature(C),7in1_Moisture(%RH),7in1_Moisture(%RH),Sap K (ppm),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil Ca Horiba (ppm),7in1_Moisture(%RH)
