Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Sap NO3 (ppm)
7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil Na Horiba (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Soil Na Horiba (ppm),7in1_S_Temperature(C),Sap pH,7in1_S_Temperature(C),Sap Na (ppm),Sap pH,7in1_S_Temperature(C),7in1_S_Temperature(C)
Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Soil Na Horiba (ppm),Sap Na (ppm),Sap pH,7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil Na Horiba (ppm),7in1_S_Temperature(C),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
Sap Conductivity (mS/cm),Sap pH,Sap pH,Sap Na (ppm),Sap pH,Sap pH,Soil Na Horiba (ppm),Sap Na (ppm),Sap pH,Sap Na (ppm),Sap Conductivity (mS/cm),Sap pH,Air_sensor_Humidity(%RH),Sap Na (ppm),7in1_S_Temperature(C),Sap pH,Sap pH,Sap NO3 (ppm),Sap pH,Sap Na (ppm)
Chlorophyll (SPAD),Sap Na (ppm),Sap Na (ppm),Sap pH,Sap Ca (ppm),Sap Na (ppm),Sap pH,Sap NO3 (ppm),Soil pH Horiba,Soil pH Horiba,Sap Na (ppm),Sap Na (ppm),Soil pH Horiba,Sap pH,Sap Ca (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Soil pH Horiba
Sap pH,Air_sensor_Humidity(%RH),Soil pH Horiba,Sap Ca (ppm),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Sap pH,Sap pH,Chlorophyll (SPAD),Sap Na (ppm),Chlorophyll (SPAD),Sap Na (ppm),Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap pH
Sap Na (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Soil K Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Chlorophyll (SPAD),Soil pH Horiba,Sap Na (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Sap pH,Soil pH Horiba,Chlorophyll (SPAD),Soil pH Horiba,Chlorophyll (SPAD),Soil pH Horiba,Air_sensor_Humidity(%RH),Chlorophyll (SPAD)
Soil pH Horiba,Soil pH Horiba,Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap K (ppm),Chlorophyll (SPAD),Sap K (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Ca (ppm),Soil K Horiba (ppm),Sap K (ppm),Sap K (ppm),Chlorophyll (SPAD),Sap Na (ppm),Sap Ca (ppm)
Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Sap K (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba,Sap K (ppm),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Soil pH Horiba,Sap Conductivity (mS/cm),Soil K Horiba (ppm),Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba,Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Soil K Horiba (ppm)
Soil K Horiba (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Soil K Horiba (ppm),Soil K Horiba (ppm),Soil pH Horiba,Sap K (ppm),Sap Ca (ppm),Sap K (ppm),Sap Ca (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Sap K (ppm),Sap K (ppm),Sap K (ppm)
