Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm)
Sap NO3 (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm)
7in1_S_Temperature(C),7in1_S_Temperature(C),Sap NO3 (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),7in1_S_Temperature(C),Soil Na Horiba (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap NO3 (ppm),Sap Ca (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Sap Na (ppm),7in1_S_Temperature(C),Sap Ca (ppm)
Sap Conductivity (mS/cm),Sap Na (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),7in1_S_Temperature(C),Sap pH,Air_sensor_Humidity(%RH),Soil pH Horiba,Soil Na Horiba (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Sap Ca (ppm),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm)
Soil Na Horiba (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba,Sap Ca (ppm),Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Air_sensor_Humidity(%RH),Sap Ca (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),7in1_S_Temperature(C),Soil Na Horiba (ppm),Sap Ca (ppm),Soil pH Horiba
Chlorophyll (SPAD),Soil pH Horiba,Sap Ca (ppm),Sap Na (ppm),Soil pH Horiba,Soil pH Horiba,Sap Ca (ppm),Soil Na Horiba (ppm),Chlorophyll (SPAD),Sap Na (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Soil pH Horiba,Sap Na (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba,Air_sensor_Humidity(%RH),Sap NO3 (ppm),Chlorophyll (SPAD),7in1_S_Temperature(C)
Air_sensor_Temperature(C),Soil Na Horiba (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap pH,Sap Na (ppm),Air_sensor_Humidity(%RH),Sap Na (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Chlorophyll (SPAD),Soil Na Horiba (ppm),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Soil pH Horiba,Sap Na (ppm),Sap Na (ppm),Sap pH,Soil pH Horiba,Sap Na (ppm)
Sap Na (ppm),Sap pH,Air_sensor_Humidity(%RH),Soil pH Horiba,Sap Na (ppm),Soil Na Horiba (ppm),Soil pH Horiba,Air_sensor_Humidity(%RH),Soil pH Horiba,Sap pH,Sap Na (ppm),Chlorophyll (SPAD),Sap Na (ppm),Chlorophyll (SPAD),Sap pH,Soil Na Horiba (ppm),Soil pH Horiba,Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Chlorophyll (SPAD)
Sap pH,Chlorophyll (SPAD),Sap K (ppm),Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Sap K (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap Ca (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Air_sensor_Temperature(C),Chlorophyll (SPAD),Chlorophyll (SPAD),Air_sensor_Temperature(C),Sap pH,Sap pH
Soil pH Horiba,Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Sap pH,Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Na (ppm),Sap Conductivity (mS/cm),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm),Sap K (ppm),Sap pH,Chlorophyll (SPAD),Sap pH,Air_sensor_Temperature(C),Chlorophyll (SPAD),Sap Na (ppm),Sap K (ppm)
Sap K (ppm),Air_sensor_Temperature(C),Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Sap pH,Sap pH,Chlorophyll (SPAD),Sap pH,Chlorophyll (SPAD),Sap K (ppm),Air_sensor_Temperature(C),Chlorophyll (SPAD),Air_sensor_Temperature(C),Sap Na (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Pynamometer_Radiation(W/m2),Air_sensor_Humidity(%RH)
Sap Ca (ppm),Sap Ca (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Air_sensor_Temperature(C),7in1_Moisture(%RH),Sap K (ppm),Sap K (ppm),Air_sensor_Temperature(C),Sap K (ppm),Soil pH Horiba,Sap pH,Soil NO3 Horiba (ppm),Sap K (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Sap K (ppm),7in1_Moisture(%RH),Sap K (ppm),Air_sensor_Temperature(C)
Air_sensor_Humidity(%RH),Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Air_sensor_Temperature(C),Sap pH,Pynamometer_Radiation(W/m2),Sap pH,Pynamometer_Radiation(W/m2),Soil NO3 Horiba (ppm),7in1_Moisture(%RH),Sap pH,Sap K (ppm),Air_sensor_Temperature(C),Sap Conductivity (mS/cm)
,,,,Soil NO3 Horiba (ppm),Chlorophyll (SPAD),,,Sap Conductivity (mS/cm),,,,,,Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),,,Sap Conductivity (mS/cm),Pynamometer_Radiation(W/m2)
