Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm)
Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm)
Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
Soil Na Horiba (ppm),Sap Na (ppm),7in1_S_Temperature(C),Soil K Horiba (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil NO3 Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Sap Ca (ppm)
Sap Ca (ppm),Soil K Horiba (ppm),Sap Na (ppm),Soil NO3 Horiba (ppm),Sap Ca (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Soil NO3 Horiba (ppm),Sap Na (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Sap Na (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap Na (ppm),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Sap Na (ppm)
Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Soil NO3 Horiba (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil K Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Sap Na (ppm),Sap NO3 (ppm)
Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil K Horiba (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Sap Na (ppm),Soil K Horiba (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap pH,Chlorophyll (SPAD),Sap Conductivity (mS/cm)
Sap Na (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil pH Horiba,Soil NO3 Horiba (ppm),Sap pH,Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm)
Sap K (ppm),Sap pH,Soil NO3 Horiba (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Soil pH Horiba,Chlorophyll (SPAD),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Sap Ca (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD)
Chlorophyll (SPAD),7in1_S_Temperature(C),Soil pH Horiba,Sap pH,Soil pH Horiba,Sap Conductivity (mS/cm),Sap pH,Sap Ca (ppm),7in1_S_Temperature(C),Soil pH Horiba,Sap K (ppm),7in1_S_Temperature(C),Soil pH Horiba,Sap pH,7in1_Ph(pH),Soil pH Horiba,Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Sap Ca (ppm),Air_sensor_Humidity(%RH)
7in1_S_Temperature(C),Soil pH Horiba,Sap Conductivity (mS/cm),Soil pH Horiba,7in1_S_Temperature(C),Sap pH,Air_sensor_Temperature(C),Soil pH Horiba,Soil pH Horiba,Sap pH,Soil pH Horiba,7in1_Ph(pH),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Sap pH,Soil pH Horiba,7in1_S_Temperature(C),Soil pH Horiba,Sap pH
Sap pH,Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),7in1_S_Temperature(C),Sap pH,7in1_S_Temperature(C),7in1_S_Temperature(C),Sap K (ppm),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Sap pH,Sap pH,Air_sensor_Humidity(%RH),Soil pH Horiba,Soil pH Horiba,Air_sensor_Humidity(%RH),Sap pH,Soil pH Horiba,Sap pH,Soil pH Horiba
,,Sap K (ppm),Sap K (ppm),,Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),Air_sensor_Temperature(C),,,Sap Ca (ppm),,Air_sensor_Humidity(%RH),,7in1_S_Temperature(C),,Sap K (ppm),Air_sensor_Temperature(C),
