Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Ca (ppm),Sap K (ppm),Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba
Soil pH Horiba,Soil Ca Horiba (ppm),Soil pH Horiba,Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba,Soil Ca Horiba (ppm),Soil pH Horiba,Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm)
Soil Ca Horiba (ppm),Soil pH Horiba,Sap NO3 (ppm),Chlorophyll (SPAD),Sap pH,Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Soil Ca Horiba (ppm),Sap Na (ppm),Soil Ca Horiba (ppm),Soil pH Horiba,Sap Na (ppm),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),Sap pH,Sap Na (ppm),Sap Na (ppm),Soil Ca Horiba (ppm),Sap Na (ppm)
Sap Na (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Sap pH,Chlorophyll (SPAD),Sap pH,Chlorophyll (SPAD),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Sap NO3 (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Na (ppm),Chlorophyll (SPAD),Soil Ca Horiba (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD)
Soil Na Horiba (ppm),Sap pH,Sap Na (ppm),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),Soil Na Horiba (ppm),Sap NO3 (ppm),Sap Na (ppm),Pynamometer_Radiation(W/m2),Sap Na (ppm),7in1_S_Temperature(C),Soil Ca Horiba (ppm),Sap Na (ppm),Sap pH,7in1_S_Temperature(C),Soil Na Horiba (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Pynamometer_Radiation(W/m2)
Sap pH,7in1_S_Temperature(C),Soil Ca Horiba (ppm),Sap NO3 (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),7in1_S_Temperature(C),Soil Ca Horiba (ppm),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap pH,Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Na (ppm),Soil Ca Horiba (ppm)
Soil K Horiba (ppm),Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),Soil Ca Horiba (ppm),Chlorophyll (SPAD),Soil Ca Horiba (ppm),Air_sensor_Temperature(C),Sap pH,7in1_S_Temperature(C),Soil K Horiba (ppm),Soil NO3 Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap pH,Pynamometer_Radiation(W/m2),Sap NO3 (ppm)
