Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm)
Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm)
Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba
Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD)
Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm)
Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C)
7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH),7in1_Ph(pH)
Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2)
7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C)
