Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Soil pH Horiba,Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Air_sensor_Temperature(C),Sap Ca (ppm),Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba
Sap Ca (ppm),Soil pH Horiba,7in1_S_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Air_sensor_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),Soil pH Horiba,7in1_S_Temperature(C),Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Chlorophyll (SPAD)
Air_sensor_Temperature(C),7in1_S_Temperature(C),Air_sensor_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap Ca (ppm),Sap Ca (ppm),Soil pH Horiba,Chlorophyll (SPAD),Air_sensor_Temperature(C),Soil pH Horiba,Air_sensor_Temperature(C),7in1_S_Temperature(C),Air_sensor_Temperature(C),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Sap Ca (ppm)
Sap Na (ppm),Chlorophyll (SPAD),Soil pH Horiba,Soil pH Horiba,Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD),7in1_S_Temperature(C),Chlorophyll (SPAD),7in1_S_Temperature(C),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap NO3 (ppm),Soil pH Horiba,Chlorophyll (SPAD),7in1_S_Temperature(C),Chlorophyll (SPAD),7in1_S_Temperature(C),Chlorophyll (SPAD),7in1_S_Temperature(C)
Chlorophyll (SPAD),Air_sensor_Temperature(C),Sap NO3 (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Na (ppm),Air_sensor_Temperature(C),Sap Na (ppm),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),Pynamometer_Radiation(W/m2),Soil pH Horiba,Chlorophyll (SPAD),Sap Na (ppm),Sap Na (ppm),7in1_S_Temperature(C),Sap Na (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C)
7in1_S_Temperature(C),Pynamometer_Radiation(W/m2),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap pH,7in1_S_Temperature(C),Chlorophyll (SPAD),Sap Na (ppm),Air_sensor_Temperature(C),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Soil pH Horiba,Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Chlorophyll (SPAD),Sap Na (ppm),Sap Na (ppm)
Pynamometer_Radiation(W/m2),Sap Na (ppm),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Sap Na (ppm),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Sap NO3 (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2)
Sap NO3 (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Soil Na Horiba (ppm),Sap pH,Chlorophyll (SPAD),Soil Na Horiba (ppm),Sap pH,Soil Ca Horiba (ppm),Sap pH,Sap NO3 (ppm),Sap NO3 (ppm),Chlorophyll (SPAD),Soil Na Horiba (ppm),Pynamometer_Radiation(W/m2),Sap pH,Sap NO3 (ppm),Sap pH,Air_sensor_Humidity(%RH),Sap NO3 (ppm)
Sap pH,Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Pynamometer_Radiation(W/m2),7in1_Moisture(%RH),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),7in1_Moisture(%RH),7in1_Moisture(%RH),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
