Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Sap K (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Sap Ca (ppm),Sap Ca (ppm)
Sap Na (ppm),Soil K Horiba (ppm),Sap Na (ppm),Soil K Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Soil K Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm),Soil pH Horiba
Soil K Horiba (ppm),Soil pH Horiba,Soil K Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil pH Horiba,Soil K Horiba (ppm),Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Sap Na (ppm),Soil K Horiba (ppm),Sap Na (ppm)
Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Soil pH Horiba,Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil pH Horiba,Sap Na (ppm),Soil pH Horiba,Soil K Horiba (ppm),Soil pH Horiba,Soil pH Horiba,Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil pH Horiba,Soil K Horiba (ppm)
Chlorophyll (SPAD),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap NO3 (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Soil Ca Horiba (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap NO3 (ppm),Sap NO3 (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD)
Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Sap pH,Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Sap pH,Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Sap pH,Sap NO3 (ppm),Chlorophyll (SPAD),Pynamometer_Radiation(W/m2),Soil NO3 Horiba (ppm)
Air_sensor_Humidity(%RH),Sap pH,Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Sap pH,Soil Na Horiba (ppm),Chlorophyll (SPAD),7in1_Ph(pH),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil NO3 Horiba (ppm),Soil Na Horiba (ppm),Sap pH,Sap NO3 (ppm),Sap NO3 (ppm)
