weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Na (ppm),Soil NO3 Horiba (ppm)
Sap Conductivity (mS/cm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Na (ppm)
Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD)
Sap Na (ppm),Sap Ca (ppm),Sap K (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm)
Sap Ca (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),7in1_S_Temperature(C),Sap K (ppm)
Sap K (ppm),Air_sensor_Temperature(C),7in1_Moisture(%RH),Sap Ca (ppm),Sap Ca (ppm)
Sap NO3 (ppm),Sap K (ppm),7in1_S_Temperature(C),Soil Ca Horiba (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),7in1_S_Temperature(C),Soil pH Horiba,Sap K (ppm),Soil Ca Horiba (ppm)
Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm)
7in1_Ph(pH),7in1_Moisture(%RH),Sap NO3 (ppm),7in1_Moisture(%RH),Air_sensor_Temperature(C)
Soil Na Horiba (ppm),Sap NO3 (ppm),Air_sensor_Temperature(C),Soil Na Horiba (ppm),7in1_Ph(pH)
Soil Ca Horiba (ppm),7in1_Ph(pH),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Soil Na Horiba (ppm)
7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Sap pH,Soil Conductivity Horiba (mS/cm)
Sap pH,,,Air_sensor_Temperature(C),
