Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Na (ppm),Sap Na (ppm),Chlorophyll (SPAD),Sap Na (ppm)
Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Sap Na (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Ca (ppm),Chlorophyll (SPAD)
Soil Ca Horiba (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm),7in1_S_Temperature(C),Soil Ca Horiba (ppm),7in1_S_Temperature(C),Sap Ca (ppm)
Sap Ca (ppm),7in1_S_Temperature(C),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Sap Na (ppm),Soil NO3 Horiba (ppm)
Soil NO3 Horiba (ppm),7in1_Moisture(%RH),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Chlorophyll (SPAD),Air_sensor_Temperature(C),Air_sensor_Temperature(C)
Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Soil NO3 Horiba (ppm),Sap NO3 (ppm),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),Sap NO3 (ppm),Sap K (ppm)
Sap K (ppm),Soil Ca Horiba (ppm),Sap K (ppm),Soil Ca Horiba (ppm),7in1_S_Temperature(C),Sap Ca (ppm),Sap Ca (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),7in1_S_Temperature(C)
7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Soil Ca Horiba (ppm),Sap pH,7in1_Moisture(%RH),Soil Ca Horiba (ppm)
Air_sensor_Humidity(%RH),Sap NO3 (ppm),Soil Ca Horiba (ppm),Air_sensor_Humidity(%RH),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil pH Horiba,Sap NO3 (ppm),Air_sensor_Humidity(%RH),7in1_Moisture(%RH)
Sap NO3 (ppm),Air_sensor_Temperature(C),Soil Na Horiba (ppm),Sap pH,Air_sensor_Humidity(%RH),Sap NO3 (ppm),7in1_Moisture(%RH),Soil pH Horiba,Soil pH Horiba,Sap NO3 (ppm)
Soil pH Horiba,Sap pH,Sap pH,Sap NO3 (ppm),7in1_Moisture(%RH),Air_sensor_Humidity(%RH),Sap NO3 (ppm),7in1_Moisture(%RH),Sap pH,7in1_Ph(pH)
7in1_Moisture(%RH),Sap K (ppm),Soil pH Horiba,7in1_Moisture(%RH),Sap pH,Sap pH,Sap K (ppm),Sap K (ppm),7in1_Ph(pH),Air_sensor_Humidity(%RH)
Sap pH,,Air_sensor_Humidity(%RH),,,Soil pH Horiba,7in1_Ph(pH),Air_sensor_Humidity(%RH),Sap K (ppm),
