Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11
Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C)
Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm)
7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C)
Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH)
Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm)
Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba
Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm)
Sap pH,Sap pH,Sap pH,Sap pH,Sap pH,Sap pH,Sap pH,Sap pH,Sap pH,Sap pH
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm)
