Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11
Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
Sap Ca (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap Ca (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap Ca (ppm),Sap Ca (ppm)
Sap NO3 (ppm),Sap Ca (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Soil pH Horiba,Sap NO3 (ppm)
Soil pH Horiba,Soil pH Horiba,Sap Ca (ppm),Sap K (ppm),Sap Na (ppm),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH)
Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Soil NO3 Horiba (ppm),Soil Na Horiba (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Soil Na Horiba (ppm),Sap Na (ppm),Soil pH Horiba
Soil Na Horiba (ppm),Sap Na (ppm),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Chlorophyll (SPAD),Soil pH Horiba,Soil pH Horiba,7in1_S_Temperature(C),Sap K (ppm)
Sap Na (ppm),7in1_Moisture(%RH),Soil pH Horiba,Sap Na (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba,Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Sap K (ppm),Soil Na Horiba (ppm)
Soil NO3 Horiba (ppm),Sap pH,Sap Na (ppm),7in1_S_Temperature(C),Sap K (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Sap K (ppm),Air_sensor_Humidity(%RH),Sap pH
7in1_S_Temperature(C),Soil Na Horiba (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),7in1_S_Temperature(C),7in1_S_Temperature(C),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Soil Na Horiba (ppm),Sap Na (ppm)
Chlorophyll (SPAD),Sap Conductivity (mS/cm),7in1_S_Temperature(C),Sap pH,Soil pH Horiba,Sap K (ppm),Sap pH,Sap pH,Sap pH,Chlorophyll (SPAD)
Sap pH,Chlorophyll (SPAD),Sap pH,Sap Conductivity (mS/cm),Sap pH,7in1_Moisture(%RH),Sap Na (ppm),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),Soil NO3 Horiba (ppm)
Sap K (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),7in1_Moisture(%RH),Sap pH,Air_sensor_Temperature(C),Sap Na (ppm),Pynamometer_Radiation(W/m2),7in1_Moisture(%RH)
Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Sap K (ppm),Soil pH Horiba,Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2),Sap K (ppm),7in1_S_Temperature(C),7in1_Moisture(%RH),Sap Conductivity (mS/cm)
,,,,Sap Conductivity (mS/cm),,,,,
