Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11
Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil K Horiba (ppm),Soil Ca Horiba (ppm)
Sap NO3 (ppm),Soil K Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Conductivity Horiba (mS/cm)
Soil Conductivity Horiba (mS/cm),Soil Ca Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil K Horiba (ppm),Soil Na Horiba (ppm),Sap Ca (ppm),Sap NO3 (ppm),Soil Na Horiba (ppm)
Soil Na Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Sap Ca (ppm),Soil Na Horiba (ppm),Soil Conductivity Horiba (mS/cm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm)
Sap Ca (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Sap Ca (ppm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil pH Horiba,Sap NO3 (ppm)
Soil K Horiba (ppm),Soil pH Horiba,Sap Conductivity (mS/cm),Soil Conductivity Horiba (mS/cm),Soil pH Horiba,Soil Na Horiba (ppm),Soil pH Horiba,Soil Na Horiba (ppm),Sap Ca (ppm),Sap Ca (ppm)
Soil pH Horiba,Soil Na Horiba (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Sap Na (ppm),Sap Ca (ppm),Soil pH Horiba,Soil Conductivity Horiba (mS/cm),Soil pH Horiba
Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Soil pH Horiba,Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil pH Horiba,Air_sensor_Humidity(%RH),Soil NO3 Horiba (ppm),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm)
Soil NO3 Horiba (ppm),Air_sensor_Humidity(%RH),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Sap pH,Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Sap Na (ppm),Sap Na (ppm)
Sap Na (ppm),Sap Conductivity (mS/cm),Sap Na (ppm),Soil NO3 Horiba (ppm),Air_sensor_Humidity(%RH),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Sap K (ppm),Soil NO3 Horiba (ppm),Air_sensor_Humidity(%RH)
Air_sensor_Humidity(%RH),Sap Na (ppm),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Sap Na (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Na (ppm),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm)
7in1_S_Temperature(C),7in1_S_Temperature(C),Chlorophyll (SPAD),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap pH
Sap pH,Sap pH,Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Air_sensor_Humidity(%RH),Sap Na (ppm),7in1_S_Temperature(C),7in1_S_Temperature(C),Sap K (ppm)
,,,Soil pH Horiba,,,,,,
