Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Chlorophyll (SPAD),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Sap K (ppm),Sap Ca (ppm),Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba,Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm)
Soil pH Horiba,Air_sensor_Humidity(%RH),Soil NO3 Horiba (ppm),Air_sensor_Humidity(%RH),Sap Ca (ppm),Sap Ca (ppm),Sap K (ppm),Chlorophyll (SPAD),Sap NO3 (ppm),Sap pH
Air_sensor_Humidity(%RH),Soil pH Horiba,Soil pH Horiba,Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Sap pH,Sap Ca (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Chlorophyll (SPAD)
Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap NO3 (ppm),Soil pH Horiba,Sap NO3 (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba,Soil pH Horiba,Air_sensor_Humidity(%RH)
Sap pH,Sap pH,Soil Na Horiba (ppm),Sap pH,Chlorophyll (SPAD),Chlorophyll (SPAD),7in1_S_Temperature(C),Air_sensor_Humidity(%RH),Chlorophyll (SPAD),Soil Na Horiba (ppm)
Sap NO3 (ppm),Sap NO3 (ppm),Sap pH,Soil pH Horiba,Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm),Sap pH,Soil Na Horiba (ppm),Sap NO3 (ppm)
Soil Na Horiba (ppm),Soil Na Horiba (ppm),Sap Ca (ppm),Soil Na Horiba (ppm),Soil K Horiba (ppm),Soil pH Horiba,Soil Na Horiba (ppm),Pynamometer_Radiation(W/m2),Soil NO3 Horiba (ppm),Soil pH Horiba
Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Sap Na (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Sap pH,Soil Na Horiba (ppm),Pynamometer_Radiation(W/m2),Sap Na (ppm)
Sap Na (ppm),7in1_S_Temperature(C),Soil K Horiba (ppm),Air_sensor_Temperature(C),Sap Na (ppm),Sap Na (ppm),Sap NO3 (ppm),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),Soil NO3 Horiba (ppm)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap pH,Soil K Horiba (ppm),Soil Ca Horiba (ppm),Sap Na (ppm),Sap pH,Soil Ca Horiba (ppm)
Soil NO3 Horiba (ppm),Soil K Horiba (ppm),Sap Na (ppm),7in1_S_Temperature(C),Air_sensor_Temperature(C),Soil Ca Horiba (ppm),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C),7in1_S_Temperature(C),Pynamometer_Radiation(W/m2)
Soil Ca Horiba (ppm),Sap Na (ppm),Pynamometer_Radiation(W/m2),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Soil NO3 Horiba (ppm),Air_sensor_Temperature(C),7in1_Ph(pH),Sap Na (ppm),Soil K Horiba (ppm)
