Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11
Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm)
Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm)
Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba
Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm)
Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH)
Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD)
Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C)
Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2)
Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
