Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11
Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap K (ppm),Sap Conductivity (mS/cm),Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap K (ppm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil pH Horiba,Sap Conductivity (mS/cm),Sap K (ppm),Sap K (ppm)
Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba,Soil pH Horiba,Sap K (ppm),Sap Ca (ppm),Soil pH Horiba,Sap Ca (ppm)
Sap Ca (ppm),Soil pH Horiba,Soil Na Horiba (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Ca (ppm),Soil pH Horiba
Sap Na (ppm),Sap Na (ppm),Chlorophyll (SPAD),Soil pH Horiba,Sap Na (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Sap Na (ppm)
Chlorophyll (SPAD),Air_sensor_Humidity(%RH),Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Sap Na (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Sap NO3 (ppm),Chlorophyll (SPAD)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Na (ppm),Sap Na (ppm),Chlorophyll (SPAD),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Air_sensor_Temperature(C),Sap NO3 (ppm)
Sap NO3 (ppm),Chlorophyll (SPAD),Sap Ca (ppm),Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Sap NO3 (ppm),Air_sensor_Temperature(C),Sap NO3 (ppm),Sap Na (ppm),Soil Na Horiba (ppm)
Soil Ca Horiba (ppm),Sap pH,Air_sensor_Humidity(%RH),Soil Na Horiba (ppm),Air_sensor_Temperature(C),7in1_S_Temperature(C),Soil Na Horiba (ppm),Air_sensor_Temperature(C),Air_sensor_Humidity(%RH),Soil Ca Horiba (ppm)
Soil Na Horiba (ppm),7in1_Moisture(%RH),Sap pH,Sap pH,Soil Na Horiba (ppm),Sap pH,7in1_S_Temperature(C),Soil Na Horiba (ppm),Soil Ca Horiba (ppm),Air_sensor_Humidity(%RH)
Air_sensor_Humidity(%RH),Soil Ca Horiba (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap pH,Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),Sap Na (ppm),Soil Na Horiba (ppm),Air_sensor_Temperature(C)
Sap pH,Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),7in1_S_Temperature(C),Soil Na Horiba (ppm),Sap NO3 (ppm),Air_sensor_Humidity(%RH),Sap pH,Sap pH
7in1_S_Temperature(C),Soil Na Horiba (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Soil Ca Horiba (ppm),Pynamometer_Radiation(W/m2),Sap Na (ppm),7in1_Ph(pH),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2)
